識別號,漢字,聲母,韻母,聲調,常用度,台語音標聲母,台語音標韻母,台語音標拼音,方音符號聲母,方音符號韻母,方音符號注音,聲母識別碼,韻母識別碼,聲調識別碼
107,芬,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
108,氛,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
109,棼,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
110,雰,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
111,紛,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
112,梤,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
113,殙,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
114,㱪,喜,君,上平,0.01 ,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
115,馚,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
116,緍,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
117,痻,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
118,烟,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
119,纁,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
120,𠉣,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
121,汾,喜,君,上平,,h,un,hun1,ㄏ,ㄨㄣ,ㄏㄨㄣ1,15,1,1
122,㤻,柳,君,上上,,l,un,lun2,ㄌ,ㄨㄣ,ㄌㄨㄣ2,1,1,2
123,稐,柳,君,上上,,l,un,lun2,ㄌ,ㄨㄣ,ㄌㄨㄣ2,1,1,2
124,耣,柳,君,上上,,l,un,lun2,ㄌ,ㄨㄣ,ㄌㄨㄣ2,1,1,2
125,忍,柳,君,上上,,l,un,lun2,ㄌ,ㄨㄣ,ㄌㄨㄣ2,1,1,2
126,碖,柳,君,上上,,l,un,lun2,ㄌ,ㄨㄣ,ㄌㄨㄣ2,1,1,2
127,輑,柳,君,上上,,l,un,lun2,ㄌ,ㄨㄣ,ㄌㄨㄣ2,1,1,2
128,本,邊,君,上上,,p,un,pun2,ㄅ,ㄨㄣ,ㄅㄨㄣ2,2,1,2
129,𤲙,邊,君,上上,0.01 ,p,un,pun2,ㄅ,ㄨㄣ,ㄅㄨㄣ2,2,1,2
130,畚,邊,君,上上,,p,un,pun2,ㄅ,ㄨㄣ,ㄅㄨㄣ2,2,1,2
131,滾,求,君,上上,,k,un,kun2,ㄍ,ㄨㄣ,ㄍㄨㄣ2,3,1,2
132,袞,求,君,上上,,k,un,kun2,ㄍ,ㄨㄣ,ㄍㄨㄣ2,3,1,2
133,㨰,求,君,上上,,k,un,kun2,ㄍ,ㄨㄣ,ㄍㄨㄣ2,3,1,2
134,䜇,求,君,上上,,k,un,kun2,ㄍ,ㄨㄣ,ㄍㄨㄣ2,3,1,2
135,緄,求,君,上上,,k,un,kun2,ㄍ,ㄨㄣ,ㄍㄨㄣ2,3,1,2
136,呁,求,君,上上,,k,un,kun2,ㄍ,ㄨㄣ,ㄍㄨㄣ2,3,1,2
137,鯀,求,君,上上,,k,un,kun2,ㄍ,ㄨㄣ,ㄍㄨㄣ2,3,1,2
138,𦓼,求,君,上上,,k,un,kun2,ㄍ,ㄨㄣ,ㄍㄨㄣ2,3,1,2
139,侰,求,君,上上,0.01 ,k,un,kun2,ㄍ,ㄨㄣ,ㄍㄨㄣ2,3,1,2
140,僒,求,君,上上,,k,un,kun2,ㄍ,ㄨㄣ,ㄍㄨㄣ2,3,1,2
141,𨎊,求,君,上上,,k,un,kun2,ㄍ,ㄨㄣ,ㄍㄨㄣ2,3,1,2
142,捆,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
143,丨,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
144,窘,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
145,捃,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
146,悃,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
147,懇,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
148,𢡆,去,君,上上,0.01 ,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
149,豤,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
150,綑,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
151,稇,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
152,裍,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
153,墾,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
154,梱,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
155,閫,去,君,上上,0.01 ,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
156,壼,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
157,𦓾,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
158,僒,去,君,上上,,kh,un,khun2,ㄎ,ㄨㄣ,ㄎㄨㄣ2,4,1,2
159,盾,地,君,上上,,t,un,tun2,ㄉ,ㄨㄣ,ㄉㄨㄣ2,5,1,2
160,伅,地,君,上上,,t,un,tun2,ㄉ,ㄨㄣ,ㄉㄨㄣ2,5,1,2
161,楯,地,君,上上,0.01 ,t,un,tun2,ㄉ,ㄨㄣ,ㄉㄨㄣ2,5,1,2
162,䃦,地,君,上上,,t,un,tun2,ㄉ,ㄨㄣ,ㄉㄨㄣ2,5,1,2
163,𦯁,地,君,上上,,t,un,tun2,ㄉ,ㄨㄣ,ㄉㄨㄣ2,5,1,2
164,撪,頗,君,上上,,ph,un,phun2,ㄆ,ㄨㄣ,ㄆㄨㄣ2,6,1,2
165,翸,頗,君,上上,,ph,un,phun2,ㄆ,ㄨㄣ,ㄆㄨㄣ2,6,1,2
166,栩,頗,君,上上,,ph,un,phun2,ㄆ,ㄨㄣ,ㄆㄨㄣ2,6,1,2
167,呠,頗,君,上上,,ph,un,phun2,ㄆ,ㄨㄣ,ㄆㄨㄣ2,6,1,2
168,𠱥,頗,君,上上,,ph,un,phun2,ㄆ,ㄨㄣ,ㄆㄨㄣ2,6,1,2
169,氽,他,君,上上,,th,un,thun2,ㄊ,ㄨㄣ,ㄊㄨㄣ2,7,1,2
170,𢚺,他,君,上上,,th,un,thun2,ㄊ,ㄨㄣ,ㄊㄨㄣ2,7,1,2
171,黗,他,君,上上,,th,un,thun2,ㄊ,ㄨㄣ,ㄊㄨㄣ2,7,1,2
172,腯,他,君,上上,,th,un,thun2,ㄊ,ㄨㄣ,ㄊㄨㄣ2,7,1,2
173,𦝬,他,君,上上,,th,un,thun2,ㄊ,ㄨㄣ,ㄊㄨㄣ2,7,1,2
174,准,曾,君,上上,,z,un,zun2,ㄗ,ㄨㄣ,ㄗㄨㄣ2,8,1,2
175,凖,曾,君,上上,0.01 ,z,un,zun2,ㄗ,ㄨㄣ,ㄗㄨㄣ2,8,1,2
176,𠟃,曾,君,上上,,z,un,zun2,ㄗ,ㄨㄣ,ㄗㄨㄣ2,8,1,2
177,撙,曾,君,上上,,z,un,zun2,ㄗ,ㄨㄣ,ㄗㄨㄣ2,8,1,2
178,僔,曾,君,上上,,z,un,zun2,ㄗ,ㄨㄣ,ㄗㄨㄣ2,8,1,2
179,準,曾,君,上上,,z,un,zun2,ㄗ,ㄨㄣ,ㄗㄨㄣ2,8,1,2
180,隼,曾,君,上上,,z,un,zun2,ㄗ,ㄨㄣ,ㄗㄨㄣ2,8,1,2
181,鶽,曾,君,上上,,z,un,zun2,ㄗ,ㄨㄣ,ㄗㄨㄣ2,8,1,2
182,鱒,曾,君,上上,,z,un,zun2,ㄗ,ㄨㄣ,ㄗㄨㄣ2,8,1,2
183,噂,曾,君,上上,,z,un,zun2,ㄗ,ㄨㄣ,ㄗㄨㄣ2,8,1,2
