序,攝,韻,調,等,呼,韻母,台羅,擬音,切語下字
136,曾,蒸,平,三,開,蒸,ing,[-ĭəŋ],仍 陵 膺 冰 蒸 乗 矜 兢 升 拯 庱 應 證 孕 甑 𩜁
137,曾,蒸,平,三,合,,,,
138,宕,唐,入,一,開,鐸開,ok,[-ɑk],落 各
139,宕,唐,入,一,合,鐸合,ok,[-uɑk],郭 博 穫
140,宕,陽,入,三,開,藥開,ok,[-ĭak],灼 勺 若 藥 約 略 爵 雀 虐
141,宕,陽,入,三,合,藥合,ok,[-ĭwak],縛 钁 籰
142,梗,庚,入,二,開,陌二開,ik,[-ɐk],白 格 陌 伯
143,梗,庚,入,二,合,陌二合,ik,[-wɐk],白 伯 擭
144,梗,庚,入,三,開,陌三開,ik,[-ĭɐk],逆 劇 戟 郤 役
145,梗,庚,入,三,合,陌三合,ik,[-ĭwɐk],虢
146,梗,耕,入,二,開,麥開,ik,[-æk],獲 麥 厄 革 核 責 摘 戹
147,梗,耕,入,二,合,麥合,ik,[-wæk],獲 麥 摑
148,梗,清,入,三,開,昔開,ik,[-ĭɛk],積 昔 益 隻 石 炙 迹 易 亦
149,梗,清,入,三,合,昔合,ik,[-ĭwɛk],隻 役
150,梗,清A,入,三,開,昔A開,ik,[-ĭɛk],昔 益 辟
151,梗,清A,入,三,合,昔A合,ik,[-ĭwɛk],役
152,梗,青,入,四,開,錫開,ik,[-iek],擊 歷 狄 激
153,梗,青,入,四,合,錫合,ik,[-iwek],鶪 闃 狊
154,曾,登,入,一,開,德開,ik,[-ək],則 德 得 北 墨 黑 勒
155,曾,登,入,一,合,德合,ik,[-uək],國 或
156,曾,蒸,入,三,開,職開,ik,[-ĭɛk],翼 力 直 即 職 極 側 逼
157,曾,蒸,入,三,合,職合,ik,[-ĭwək],逼
158,流,尤,平,三,開,尤,iu,[-ĭəu],求 由 周 秋 流 鳩 州 尤 謀 浮 久 柳 有 九 酉 否 婦 救 祐 副 就 僦 富 呪 又 溜
159,流,侯,平,一,開,侯,oo/io,[-əu],鉤 侯 婁 口 厚 垢 后 斗 苟 遘 候 豆 奏 漏
160,流,幽,平,三,開,幽,iu,[-iəu],虯 幽 烋 彪 糾 黝 謬 幼
161,深,侵,平,三,開,侵,im,[-ĭĕm],林 尋 深 任 針 淫 心 吟 今 簪 稔 甚 朕 荏 枕 凜 錦 㾕 鴆 禁 蔭 譖
162,深,侵A,平,三,開,侵A,im,[-ĭĕm],淫 甚
163,深,侵B,平,三,開,侵B,im,[-ĭĕm],金 吟 飲 錦 禁 蔭
164,咸,談,平,一,開,談,am,[-ɑm],甘 三 酣 談 覽 敢 濫 𣊟 蹔 瞰 暫
165,咸,嚴,平,三,開,嚴,iam,[-ĭɐm],𩏩 嚴 掩 广 欠 釅 劒
166,咸,凡,平,三,合,凡,uan/uam,[-ĭwɐm],咸 凡 錽 范 犯 劒 泛 梵
167,咸,銜,平,二,開,銜,am,[-am],監 銜 黤 檻 懺 鑒 鑑
168,咸,咸,平,二,開,咸,am,,讒 咸 斬 減 豏 韽 陷 賺
169,咸,鹽,平,三,開,鹽,iam,[-ĭɛm],廉 鹽 占 炎 冉 琰 染 漸 贍 豔 驗
170,咸,鹽A,平,三,開,鹽A,iam,[-ĭɛm],鹽 琰 豔
171,咸,鹽B,平,三,開,鹽B,iam,[-ĭɛm],廉 炎 淹 檢 斂 險 奄 儉 驗 窆
