識別號,韻目識別號,韻目列號,攝,四聲調號,調,目次,韻目,韻類,等呼,等,呼,韻母,韻目標音對照識別,韻母標音,切語下字集,備註
123,187,30,山,4,入,入14末,末,末,合洪,1,合,30合洪,41,uat,括活栝撥末,
124,27,31,山,1,平,上平27刪,刪,刪一,開洪,2,開,31開洪,42,an,姦顏閒,
125,27,31,山,1,平,上平27刪,刪,刪二,合洪,2,合,31合洪,43,uan,還關班,
126,82,31,山,2,上,上25潸,潸,潸一,開洪,2,開,31開洪,42,an,赧,
127,82,31,山,2,上,上25潸,潸,潸二,合洪,2,合,31合洪,43,uan,綰板版鯇,
128,143,31,山,3,去,去31諫,諫,諫一,開洪,2,開,31開洪,42,an,晏諫鴈澗,
129,143,31,山,3,去,去31諫,諫,諫二,合洪,2,合,31合洪,43,uan,患慣慢,
130,188,31,山,4,入,入15黠,黠,黠一,開洪,2,開,31開洪,42,at,黠八拔,
131,188,31,山,4,入,入15黠,黠,黠二,合洪,2,合,31合洪,43,uat,滑婠,
132,28,32,山,1,平,上平28山,山,山一,開洪,2,開,32開洪,44,an,間閑山,
133,28,32,山,1,平,上平28山,山,山一,合洪,2,合,32合洪,45,uan,頑鰥頁,
134,83,32,山,2,上,上26產,產,產一,開洪,2,開,32開洪,44,an,簡限,
135,83,32,山,2,上,上26產,產,產一,合洪,2,合,32合洪,45,uan,綰,
136,144,32,山,3,去,去32襇,襇,襇一,開洪,2,開,32開洪,44,an,襉襇莧,
137,144,32,山,3,去,去32襇,襇,襇一,合洪,2,合,32合洪,45,uan,幻,
138,189,32,山,4,入,入16鎋,鎋,鎋一,開洪,2,開,32開洪,44,at,瞎轄鎋,
139,189,32,山,4,入,入16鎋,鎋,鎋一,合洪,2,合,32合洪,45,uat,刮䫄,
140,29,33,山,1,平,下平01先,先,先一,開細,4,開,33開細,46,ian,前先賢年堅煙田顛顚,
141,29,33,山,1,平,下平01先,先,先二,合細,4,合,33合細,47,ian,玄涓,
142,84,33,山,2,上,上27銑,銑,銑一,開細,4,開,33開細,46,ian,典殄繭峴,
143,84,33,山,2,上,上27銑,銑,銑二,合細,4,合,33合細,47,ian,泫畎,
144,145,33,山,3,去,去33霰,霰,霰一,開細,4,開,33開細,46,ian,佃甸電練麪,
145,145,33,山,3,去,去33霰,霰,霰二,合細,4,合,33合細,47,ian,縣絢麵,
146,190,33,山,4,入,入17屑,屑,屑一,開細,4,開,33開細,46,iat,結屑蔑,
147,190,33,山,4,入,入17屑,屑,屑二,合細,4,合,33合細,47,iat,穴決,
148,30,34,山,1,平,下平02仙,仙,仙一,開細,3,開,34開細,48,ian,然仙延連乾焉,
149,30,34,山,1,平,下平02仙,仙,仙二,合細,3,合,34合細,49,uan,員緣泉權圓專孿攣宣川全貟,
150,85,34,山,2,上,上28獮,獮,獮一,開細,3,開,34開細,48,ian,淺演善輦蹇展翦辨免,
151,85,34,山,2,上,上28獮,獮,獮二,合細,3,合,34合細,49,uan,轉篆兗兖緬,
152,146,34,山,3,去,去34線,線,線一,開細,3,開,34開細,48,ian,箭賤膳扇戰見碾線面彦變院彥,
153,146,34,山,3,去,去34線,線,線二,合細,3,合,34合細,49,uan,絹囀倦掾戀眷釧卷,
154,191,34,山,4,入,入18薛,薛,薛一,開細,3,開,34開細,48,iat,列熱滅竭薛辥别別,
155,191,34,山,4,入,入18薛,薛,薛二,合細,3,合,34合細,49,uat,絕悅劣爇雪輟,
156,31,35,效,1,平,下平03蕭,蕭,蕭,開細,4,開,35開細,50,iau,彫聊堯么幺蕭,
157,86,35,效,2,上,上29篠,篠,篠,開細,4,開,35開細,50,iau,鳥了皎皛,
158,147,35,效,3,去,去35嘯,嘯,嘯,開細,4,開,35開細,50,iau,弔叫嘯,
159,32,36,效,1,平,下平04宵,宵,宵,開細,3,開,36開細,51,iau,邀宵遙嬌消招霄囂焦昭瀌喬嚻,
160,87,36,效,2,上,上30小,小,小,開細,3,開,36開細,51,iau,兆小夭沼矯少表,
161,148,36,效,3,去,去36笑,笑,笑,開細,3,開,36開細,51,iau,召肖照笑𥬇要廟妙邵,
162,33,37,效,1,平,下平05肴,肴,肴,開洪,2,開,37開洪,52,au,交嘲肴茅,
163,88,37,效,2,上,上31巧,巧,巧,開洪,2,開,37開洪,52,au,絞巧飽爪,
164,149,37,效,3,去,去37效,效,效,開洪,2,開,37開洪,52,au,教敎稍孝皃,
165,34,38,效,1,平,下平06豪,豪,豪,開洪,1,開,38開洪,53,au,刀勞牢遭曹袍褒毛襃,
166,89,38,效,2,上,上32晧,晧,晧,開洪,1,開,38開洪,53,au,老晧道浩早抱,
167,150,38,效,3,去,去38号,号,号,開洪,1,開,38開洪,53,au,到導耗報,
168,35,39,果,1,平,下平07歌,歌,歌,開洪,1,開,39開洪,54,o,俄何河歌,
169,90,39,果,2,上,上33哿,哿,哿,開洪,1,開,39開洪,54,o,我可,
170,151,39,果,3,去,去39箇,箇,箇,開洪,1,開,39開洪,54,o,賀佐箇邏个,
171,36,40,果,1,平,下平08戈,戈,戈一,合洪,1,開,40合洪,55,o,禾戈和靴波婆𦚢𩩆𩨷,
172,36,40,果,1,平,下平08戈,戈,戈二,開細,3,開,40開細,56,ia,迦伽,
173,36,40,果,1,平,下平08戈,戈,戈三,合細,3,合,40合細,57,ia,脞,
174,91,40,果,2,上,上34果,果,果一,合洪,1,開,40合洪,55,o,火果,
175,91,40,果,2,上,上34果,果,果二,開細,3,開,40開細,56,ia,,
176,91,40,果,2,上,上34果,果,果三,合細,3,合,40合細,57,ia,,
177,152,40,果,3,去,去40過,過,過一,合洪,1,開,40合洪,55,o,臥卧唾過貨,
178,152,40,果,3,去,去40過,過,過二,開細,3,開,40開細,56,ia,,
179,152,40,果,3,去,去40過,過,過三,合細,3,合,40合細,57,ia,,
180,37,41,假,1,平,下平09麻,麻,麻一,開洪,2,開,41開洪,58,a,霞加牙巴,
181,37,41,假,1,平,下平09麻,麻,麻二,合洪,2,合,41合洪,59,ua,花瓜華,
182,37,41,假,1,平,下平09麻,麻,麻三,開細,3,開,41開細,60,ia,遮嗟邪車奢賒,
183,92,41,假,2,上,上35馬,馬,馬一,開洪,2,開,41開洪,58,a,下雅疋賈假舍,
184,92,41,假,2,上,上35馬,馬,馬二,合洪,2,合,41合洪,59,ua,瓦寡,
185,92,41,假,2,上,上35馬,馬,馬三,開細,3,開,41開細,60,ia,也者野冶姐,
186,153,41,假,3,去,去41禡,禡,禡一,開洪,2,開,41開洪,58,a,駕亞訝嫁罵,
187,153,41,假,3,去,去41禡,禡,禡二,合洪,2,合,41合洪,59,ua,化霸㕦,
188,153,41,假,3,去,去41禡,禡,禡三,開細,3,開,41開細,60,ia,謝夜,
189,38,42,宕,1,平,下平10陽,陽,陽一,開細,3,開,42開細,61,iong,章羊張良陽莊方,
190,38,42,宕,1,平,下平10陽,陽,陽二,合細,3,合,42合細,62,ong,王,
191,93,42,宕,2,上,上36養,養,養一,開細,3,開,42開細,61,iong,兩奬㢡養掌丈杖尚,
192,93,42,宕,2,上,上36養,養,養二,合細,3,合,42合細,62,ong,往网昉,
193,154,42,宕,3,去,去42漾,漾,漾一,開細,3,開,42開細,61,iong,亮讓樣向,
194,154,42,宕,3,去,去42漾,漾,漾二,合細,3,合,42合細,62,ong,況放訪妄諒㨾,
195,192,42,宕,4,入,入19藥,藥,藥一,開細,3,開,42開細,61,iok,灼略若爵虐藥約雀勺削,
196,192,42,宕,4,入,入19藥,藥,藥二,合細,3,合,42合細,62,ok,钁縛籰,
197,39,43,宕,1,平,下平11唐,唐,唐一,開洪,1,開,43開洪,63,ong,郎當剛岡,
198,39,43,宕,1,平,下平11唐,唐,唐二,合洪,1,合,43合洪,64,ong,光黃旁,
199,94,43,宕,2,上,上37蕩,蕩,蕩一,開洪,1,開,43開洪,63,ong,朗黨,
200,94,43,宕,2,上,上37蕩,蕩,蕩二,合洪,1,合,43合洪,64,ong,廣晃,
201,155,43,宕,3,去,去43宕,宕,宕一,開洪,1,開,43開洪,63,ong,浪宕,
202,155,43,宕,3,去,去43宕,宕,宕二,合洪,1,合,43合洪,64,ong,曠謗,
203,193,43,宕,4,入,入20鐸,鐸,鐸一,開洪,1,開,43開洪,63,ok,落各,
