漢字識別號,字,字義,小韻識別號,小韻字,小韻切語,小韻標音,小韻目次,廣韻聲母,聲母碼,七聲類,發音部位,清濁,發送收,廣韻韻母,韻母碼,攝,韻系,韻目,調,呼,等,等呼
20255,𥩁,上同,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20256,㹼,石㹼獸名食猴,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20257,𪈓,說文曰秸𪈓尸鳩爾雅作鴶鵴郭璞云今之布穀也,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20258,鵴,上同,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20259,𨸰,曲岸水外曰𨸰,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20260,㘲,上同,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20261,㽤,韭畦,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20262,䱡,郭璞云魚名有兩乳,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20263,椈,爾雅曰柏椈禮云鬯[曰/臼]以椈,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20264,巈,山髙皃,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20265,臼,兩手奉物,1941,舅,其九,kiu2,3.44有,群,k,牙音,牙音,全濁,,尤開3舒聲,iu,流,尤,有,上,開,3,開細
20266,䳔,鳥名,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20267,𩛺,饘也,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
20268,諊,法用,3203,菊,居六,kiok4,5.01屋,見,k,牙音,牙音,全清,發聲,東開3促聲,iok,通,東,屋,入,開,3,獨細
