漢字識別號,字,字義,小韻識別號,小韻字,小韻切語,小韻標音,小韻目次,廣韻聲母,聲母碼,七聲類,發音部位,清濁,發送收,廣韻韻母,韻母碼,攝,韻系,韻目,調,呼,等,等呼
13863,葤,裹也,1942,紂,除柳,tiu2,3.44有,澄,t,舌音,舌上音,全濁,,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13864,棸,姓也襄州有之又音籌,1012,儔,直由,tiu5,2.18尤,澄,t,舌音,舌上音,全濁,,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
13865,𦡴,小腹痛又腿後,1012,儔,直由,tiu5,2.18尤,澄,t,舌音,舌上音,全濁,,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
13866,酉,飽也老也就也首也又辰名爾雅曰太歳在酉曰作噩又姓魏有酉牧與久切二十一,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13867,丣,古文,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13868,誘,導也引也敎也進也說文曰相訹呼也,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13869,𦍶,上同並見說文,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13870,䛻,上同並見說文,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13871,牖,道也向也說文曰牖穿壁以木爲交䆫也禮曰蓽門閨竇蓬戸甕牖,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13872,卣,中形罇又音由,990,猷,以周,Øiu5,2.18尤,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
13873,槱,草也,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13874,𥟁,草也,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13875,莠,草也,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13876,羑,羑里文王所囚處又有羑水並在湯隂又姓也,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13877,庮,久屋木也周禮曰牛夜鳴則庮鄭司農曰庮朽木臭也,990,猷,以周,Øiu5,2.18尤,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
13878,蜏,朝生暮死蟲名,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13879,㝌,字書云貧病也,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13880,𣣸,說文云言意也,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13881,琇,玉名又音秀,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13882,梄,柞梄木,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13883,𤪎,遺玉,990,猷,以周,Øiu5,2.18尤,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
13884,輶,輕車又音由,990,猷,以周,Øiu5,2.18尤,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
13885,𨣆,[𨣆/𨡴]𨣆酒,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13886,𦏇,[𦏇/湵]水名,1943,酉,與久,Øiu2,3.44有,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13887,受,容納也承也盛也得也繼也殖酉切五,1944,受,殖酉,siu2,3.44有,禪,s,齒音,正齒近齒頭,全濁,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13888,壽,壽考又州名楚[孝/考]烈王自陳徙都壽春号曰[郡/郢]秦爲九江郡魏爲淮南郡梁爲南豫州周爲揚州隋平陳爲壽州亦靈壽木名生日南又姓王莽兖州牧壽良又漢複姓前漢燕王遣壽西長之長安蘇林云壽西姓也又承呪切,1944,受,殖酉,siu2,3.44有,禪,s,齒音,正齒近齒頭,全濁,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13889,𨞪,水名在蜀亦地名也,999,讎,市流,siu5,2.18尤,禪,s,齒音,正齒近齒頭,全濁,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
13890,璹,玉名又音孰,1944,受,殖酉,siu2,3.44有,禪,s,齒音,正齒近齒頭,全濁,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13891,綬,組綬禮云天子𤣥公侯朱大夫純丗子綦士緼應劭漢官曰綬長一丈二尺法十二月廣三尺法天地人也,1944,受,殖酉,siu2,3.44有,禪,s,齒音,正齒近齒頭,全濁,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13892,滫,溲麵說文曰久泔也息有切四,1945,滫,息有,siu2,3.44有,心,s,齒音,齒頭音,全清,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13893,糔,糔溲,1945,滫,息有,siu2,3.44有,心,s,齒音,齒頭音,全清,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13894,醙,白酒,1945,滫,息有,siu2,3.44有,心,s,齒音,齒頭音,全清,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13895,𦄼,絆前兩足又相主切,1184,悚,息拱,siong2,3.02腫,心,s,齒音,齒頭音,全清,送氣,鍾開3舒聲,iong,通,鍾,腫,上,開,3,獨細
13896,䬀,䬀𩖴於柳切三,1946,䬀,於柳,Øiu2,3.44有,影,Ø,喉音,喉音,全清,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13897,䱂,魚名,656,幺,於堯,Øiau1,2.03蕭,影,Ø,喉音,喉音,全清,發聲,蕭開4舒聲,iau,效,蕭,蕭,平,開,4,開細
13898,懮,懮受舒遟皃,1946,䬀,於柳,Øiu2,3.44有,影,Ø,喉音,喉音,全清,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13899,酒,酒醴戰國策曰帝女儀狄作而進於禹亦云杜康作元命包曰酒乳也又酒泉縣在肅州匈奴傳云水甘如酒因以名之亦姓也子酉切一,1947,酒,子酉,ciu2,3.44有,精,c,齒音,齒頭音,全清,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13900,𣸈,𣸈麪亦作溲踈有切一,1006,𢯱,所鳩,siu1,2.18尤,生,s,齒音,正齒近齒頭,全清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
13901,帚,少康作箕帚之九切五,1949,帚,之九,ciu2,3.44有,章,c,齒音,正齒近舌上,全清,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13902,箒,俗,1949,帚,之九,ciu2,3.44有,章,c,齒音,正齒近舌上,全清,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13903,鯞,鱖鯞魚名,1949,帚,之九,ciu2,3.44有,章,c,齒音,正齒近舌上,全清,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13904,晭,明晭,1949,帚,之九,ciu2,3.44有,章,c,齒音,正齒近舌上,全清,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13905,𧳜,猛獸,1949,帚,之九,ciu2,3.44有,章,c,齒音,正齒近舌上,全清,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13906,㤱,小怒芳否切三,1950,㤱,芳否,hiu2,3.44有,敷,h,脣音,輕脣音,次清,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13907,紑,鮮也又孚丘切,1003,䬌,匹尤,phiu1,2.18尤,滂,ph,脣音,重脣音,次清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
13908,𩂆,霧𩂆,1950,㤱,芳否,hiu2,3.44有,敷,h,脣音,輕脣音,次清,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13909,掫,持物相著側九切三,270,諏,子于,cu1,1.10虞,精,c,齒音,齒頭音,全清,發聲,虞開3舒聲,u,遇,虞,虞,平,開,3,獨細
13910,搊,搊扇別名,268,㑳,莊俱,cu1,1.10虞,莊,c,齒音,正齒近齒頭,全清,發聲,虞開3舒聲,u,遇,虞,虞,平,開,3,獨細
13911,𧌗,蟲名,1951,掫,側九,ciu2,3.44有,莊,c,齒音,正齒近齒頭,全清,發聲,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13912,𥣙,聚名士九切一,1952,𥣙,士九,ciu2,3.44有,崇,c,齒音,正齒近齒頭,全濁,,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13913,𩋄,𩋄束初九切二,1953,𩋄,初九,chiu2,3.44有,初,ch,齒音,正齒近齒頭,次清,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13914,𩌄,上同,1953,𩋄,初九,chiu2,3.44有,初,ch,齒音,正齒近齒頭,次清,送氣,尤開3舒聲,iu,流,尤,有,上,開,3,開細
13915,秠,爾雅曰一稃二米此亦黒黍漢和帝時任城生黒黍或三四實實二米得黍三斛八斗是芳婦切又匹几孚悲二切一,176,丕,敷悲,hi1,1.06脂,敷,h,脣音,輕脣音,次清,送氣,脂開3舒聲,i,止,脂,脂,平,開,3,開細
13916,厚,厚薄又重也廣也說文作𠪀曰山陵之𠪀也又姓出姓苑胡口切七,1955,厚,胡口,hio2,3.45厚,匣,h,喉音,喉音,全濁,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13917,垕,古文,1955,厚,胡口,hio2,3.45厚,匣,h,喉音,喉音,全濁,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13918,後,先後說文遟也又胡豆切,1955,厚,胡口,hio2,3.45厚,匣,h,喉音,喉音,全濁,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13919,𨒥,古文,1955,厚,胡口,hio2,3.45厚,匣,h,喉音,喉音,全濁,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13920,后,君也又姓漢有少府后倉又音候,1955,厚,胡口,hio2,3.45厚,匣,h,喉音,喉音,全濁,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13921,郈,郷名在東平又姓左傳魯大夫郈昭伯,1955,厚,胡口,hio2,3.45厚,匣,h,喉音,喉音,全濁,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13922,㖃,欲吐又呼后切,1955,厚,胡口,hio2,3.45厚,匣,h,喉音,喉音,全濁,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13923,母,父母老子注云母道也蒼頡篇云其中有兩㸃象人乳形豎通者即音無莫厚切十四,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13924,牡,牝牡,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13925,某,詔前人之言也,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13926,拇,大拇指也,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13927,胟,上同,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13928,𠭇,司馬法六尺爲步步百爲𠭇秦孝公之制二百四十步爲𠭇也,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13929,畮,並古文,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13930,畞,並古文,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13931,莽,草莽,1374,姥,莫補,boo2,3.10姥,明,b,脣音,重脣音,次濁,收聲,模開1舒聲,oo,遇,模,姥,上,開,1,獨洪
13932,𤝕,猦𤝕,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13933,𤵝,踇偶山名,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13934,踇,踇偶山名,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13935,𧿹,行皃,1956,母,莫厚,bio2,3.45厚,明,b,脣音,重脣音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13936,䳇,鸚䳇能言之鳥又音武,1355,武,文甫,bu2,3.09麌,微,b,脣音,輕脣音,次濁,收聲,虞開3舒聲,u,遇,虞,麌,上,開,3,獨細
13937,部,署也又姓出姓苑蒲口切十,1382,簿,裴古,poo2,3.10姥,並,p,脣音,重脣音,全濁,,模開1舒聲,oo,遇,模,姥,上,開,1,獨洪
13938,培,培塿小阜或作㟝,376,裴,薄回,pue5,1.15灰,並,p,脣音,重脣音,全濁,,灰合1舒聲,ue,蟹,灰,灰,平,合,1,合洪
13939,犃,犃㸸偏髙又[牛頭短/牛短頸],1957,部,蒲口,pio2,3.45厚,並,p,脣音,重脣音,全濁,,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13940,䏽,豕肉醬,1031,裒,薄侯,pio5,2.19侯,並,p,脣音,重脣音,全濁,,侯開3舒聲,io,流,侯,侯,平,開,3,開細
13941,瓿,瓿甊小甖,266,扶,防無,hu5,1.10虞,奉,h,脣音,輕脣音,全濁,,虞開3舒聲,u,遇,虞,虞,平,開,3,獨細
13942,䍌,小缶,1015,浮,縛謀,hiu5,2.18尤,奉,h,脣音,輕脣音,全濁,,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
13943,䴺,䴺𪌘餅,1957,部,蒲口,pio2,3.45厚,並,p,脣音,重脣音,全濁,,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13944,篰,牘也,1957,部,蒲口,pio2,3.45厚,並,p,脣音,重脣音,全濁,,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13945,蔀,蔀菜魚薺也易云豐其蔀王弼曰蔀覆曖鄣光明之物亦音剖,1957,部,蒲口,pio2,3.45厚,並,p,脣音,重脣音,全濁,,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13946,婄,婦人皃又音剖,376,裴,薄回,pue5,1.15灰,並,p,脣音,重脣音,全濁,,灰合1舒聲,ue,蟹,灰,灰,平,合,1,合洪
13947,斗,說文作𣂑十升也有柄象形石經作斗當口切八,1958,斗,當口,tio2,3.45厚,端,t,舌音,舌頭音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13948,㪷,俗,1958,斗,當口,tio2,3.45厚,端,t,舌音,舌頭音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13949,枓,柱上方木,1362,主,之庾,cu2,3.09麌,章,c,齒音,正齒近舌上,全清,發聲,虞開3舒聲,u,遇,虞,麌,上,開,3,獨細
13950,蚪,蝌蚪蟲也,1958,斗,當口,tio2,3.45厚,端,t,舌音,舌頭音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13951,阧,阧峻,1958,斗,當口,tio2,3.45厚,端,t,舌音,舌頭音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13952,陡,上同,1958,斗,當口,tio2,3.45厚,端,t,舌音,舌頭音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13953,抖,抖擻舉皃,1958,斗,當口,tio2,3.45厚,端,t,舌音,舌頭音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13954,襡,衣袖又音蜀,1958,斗,當口,tio2,3.45厚,端,t,舌音,舌頭音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13955,𪌜,䴺𪌘天口切九,1959,𪌜,天口,thio2,3.45厚,透,th,舌音,舌頭音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13956,飳,上同,1959,𪌜,天口,thio2,3.45厚,透,th,舌音,舌頭音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13957,妵,人名左傳有華妵說文女字也,1959,𪌜,天口,thio2,3.45厚,透,th,舌音,舌頭音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13958,黈,冕前纊也,1959,𪌜,天口,thio2,3.45厚,透,th,舌音,舌頭音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13959,𩿢,水鳥黒色又大口切,1959,𪌜,天口,thio2,3.45厚,透,th,舌音,舌頭音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13960,蘣,好皃又木苗出,1959,𪌜,天口,thio2,3.45厚,透,th,舌音,舌頭音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13961,斢,斢㪹兵奪人物出字書,1959,𪌜,天口,thio2,3.45厚,透,th,舌音,舌頭音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13962,鈄,姓出姓苑,1959,𪌜,天口,thio2,3.45厚,透,th,舌音,舌頭音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13963,䱏,魚名,1959,𪌜,天口,thio2,3.45厚,透,th,舌音,舌頭音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13964,苟,苟且又姓出河内河南西河三望國語云本自黃帝之子漢有苟參古厚切十三,1960,苟,古厚,kio2,3.45厚,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13965,玽,石似玉,1960,苟,古厚,kio2,3.45厚,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13966,狗,狗犬,1960,苟,古厚,kio2,3.45厚,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13967,垢,塵垢,1960,苟,古厚,kio2,3.45厚,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13968,笱,笱屚縣名在交阯又魚笱取魚竹器,1960,苟,古厚,kio2,3.45厚,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13969,𦊒,上同,1960,苟,古厚,kio2,3.45厚,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13970,耇,耇老壽也,1960,苟,古厚,kio2,3.45厚,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13971,詬,詬恥也又呼候切,1960,苟,古厚,kio2,3.45厚,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13972,枸,枸杞,1028,鉤,古侯,kio1,2.19侯,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,侯,平,開,3,開細
13973,茩,薢茩,1960,苟,古厚,kio2,3.45厚,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13974,岣,岣嶁山巓,276,拘,舉朱,ku1,1.10虞,見,k,牙音,牙音,全清,發聲,虞開3舒聲,u,遇,虞,虞,平,開,3,獨細
13975,敂,敂扣打也,1960,苟,古厚,kio2,3.45厚,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13976,豿,熊虎之子,1960,苟,古厚,kio2,3.45厚,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13977,藕,爾雅曰荷芙蕖其根藕五口切六,1961,藕,五口,gio2,3.45厚,疑,g,牙音,牙音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13978,蕅,上同,1961,藕,五口,gio2,3.45厚,疑,g,牙音,牙音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13979,偶,合也匹也二也對也諧也,1961,藕,五口,gio2,3.45厚,疑,g,牙音,牙音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13980,耦,耦耕也亦姓風俗通云宋卿華耦之後漢有侍中耦嘉,1961,藕,五口,gio2,3.45厚,疑,g,牙音,牙音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13981,髃,肩前髃也,250,虞,虞俱,gu5,1.10虞,疑,g,牙音,牙音,次濁,收聲,虞開3舒聲,u,遇,虞,虞,平,開,3,獨細
13982,㼴,盎名,1961,藕,五口,gio2,3.45厚,疑,g,牙音,牙音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13983,㨐,衣上擊也方垢切二,1962,㨐,方垢,hio2,3.45厚,非,h,脣音,輕脣音,全清,發聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13984,掊,擊也,701,庖,薄交,pau5,2.05肴,並,p,脣音,重脣音,全濁,,肴開2舒聲,au,效,肴,肴,平,開,2,開洪
13985,㝅,乳也乃后切六,1963,㝅,乃后,lio2,3.45厚,泥,l,舌音,舌頭音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13986,㳶,說文水也,1963,㝅,乃后,lio2,3.45厚,泥,l,舌音,舌頭音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13987,陾,衆陾,194,而,如之,ji5,1.07之,日,j,半齒音,半齒,次濁,收聲,之開3舒聲,i,止,之,之,平,開,3,開細
13988,𡝦,𡝦㛘女肥皃,1963,㝅,乃后,lio2,3.45厚,泥,l,舌音,舌頭音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13989,啂,啂食物出新字林,1963,㝅,乃后,lio2,3.45厚,泥,l,舌音,舌頭音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13990,𡭾,小皃,1963,㝅,乃后,lio2,3.45厚,泥,l,舌音,舌頭音,次濁,收聲,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13991,叜,老叜蘇后切十五,1964,叜,蘇后,sio2,3.45厚,心,s,齒音,齒頭音,全清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13992,叟,上同,1964,叜,蘇后,sio2,3.45厚,心,s,齒音,齒頭音,全清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13993,𠊯,上同亦從叟餘倣此,1964,叜,蘇后,sio2,3.45厚,心,s,齒音,齒頭音,全清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13994,嗾,使犬聲,1964,叜,蘇后,sio2,3.45厚,心,s,齒音,齒頭音,全清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13995,𠻛,上同,1964,叜,蘇后,sio2,3.45厚,心,s,齒音,齒頭音,全清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13996,𥈃,瞽𥈃舜父,1964,叜,蘇后,sio2,3.45厚,心,s,齒音,齒頭音,全清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13997,𧩮,𧩮訹誘辝,1664,篠,先鳥,siau2,3.29篠,心,s,齒音,齒頭音,全清,送氣,蕭開4舒聲,iau,效,蕭,篠,上,開,4,開細
13998,擻,抖擻舉也,1964,叜,蘇后,sio2,3.45厚,心,s,齒音,齒頭音,全清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
13999,藪,藪澤爾雅有十藪魯大野晉大陸秦楊陓宋孟諸楚雲夢吳越具區齊海隅燕昭余祁鄭圃田周焦護又十六斗曰藪,1964,叜,蘇后,sio2,3.45厚,心,s,齒音,齒頭音,全清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
14000,籔,漉米器也,1368,數,所矩,su2,3.09麌,生,s,齒音,正齒近齒頭,全清,送氣,虞開3舒聲,u,遇,虞,麌,上,開,3,獨細
14001,𦖪,字林云聦揔名也,1964,叜,蘇后,sio2,3.45厚,心,s,齒音,齒頭音,全清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
14002,廀,廣雅云隈也,1964,叜,蘇后,sio2,3.45厚,心,s,齒音,齒頭音,全清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
14003,棷,薪也,1008,鄒,側鳩,ciu1,2.18尤,莊,c,齒音,正齒近齒頭,全清,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
14004,駷,馬摇銜走又思隴切,1184,悚,息拱,siong2,3.02腫,心,s,齒音,齒頭音,全清,送氣,鍾開3舒聲,iong,通,鍾,腫,上,開,3,獨細
14005,操,車轂中空,723,操,七刀,cho1,2.06豪,清,ch,齒音,齒頭音,次清,送氣,豪開1舒聲,o,效,豪,豪,平,開,1,開洪
14006,吼,牛鳴呼后切七,1965,吼,呼后,hio2,3.45厚,曉,h,喉音,喉音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
14007,吽,上同,1965,吼,呼后,hio2,3.45厚,曉,h,喉音,喉音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
14008,呴,亦同,1965,吼,呼后,hio2,3.45厚,曉,h,喉音,喉音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
14009,㸸,夔牛子也,1965,吼,呼后,hio2,3.45厚,曉,h,喉音,喉音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
14010,𤘽,上同,1965,吼,呼后,hio2,3.45厚,曉,h,喉音,喉音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
14011,蚼,蚍蜉名也又渠俱切,255,衢,其俱,ku5,1.10虞,群,k,牙音,牙音,全濁,,虞開3舒聲,u,遇,虞,虞,平,開,3,獨細
14012,㖃,厚怒聲,1955,厚,胡口,hio2,3.45厚,匣,h,喉音,喉音,全濁,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
14013,剖,判也破也普后切五,1357,撫,芳武,hu2,3.09麌,敷,h,脣音,輕脣音,次清,送氣,虞開3舒聲,u,遇,虞,麌,上,開,3,獨細
14014,婄,婦人皃,376,裴,薄回,pue5,1.15灰,並,p,脣音,重脣音,全濁,,灰合1舒聲,ue,蟹,灰,灰,平,合,1,合洪
14015,蔀,小席又音部,1957,部,蒲口,pio2,3.45厚,並,p,脣音,重脣音,全濁,,侯開3舒聲,io,流,侯,厚,上,開,3,開細
14016,䳝,䳝雀名,1966,剖,普后,phio2,3.45厚,滂,ph,脣音,重脣音,次清,送氣,侯開3舒聲,io,流,侯,厚,上,開,3,開細
14017,䯽,髮皃,1031,裒,薄侯,pio5,2.19侯,並,p,脣音,重脣音,全濁,,侯開3舒聲,io,流,侯,侯,平,開,3,開細
