小韻識別號,小韻字,小韻切語,小韻標音,小韻目次,廣韻聲母,聲母碼,七聲類,發音部位,清濁,發送收,廣韻韻母,韻母碼,攝,韻系,韻目,調,呼,等,等呼
924,傾,去營,khing1,2.14清,溪,kh,牙音,牙音,次清,送氣,清合3舒聲,ing,梗,清,清,平,合,3,合細
925,𩛿,徐盈,sing5,2.14清,邪,s,齒音,齒頭音,全濁,送氣,清開3舒聲,ing,梗,清,清,平,開,3,開細
926,縈,於營,Øing1,2.14清,影,Ø,喉音,喉音,全清,發聲,清合3舒聲,ing,梗,清,清,平,合,3,合細
927,瓊,渠營,king5,2.14清,群,k,牙音,牙音,全濁,,清合3舒聲,ing,梗,清,清,平,合,3,合細
928,騂,息營,sing1,2.14清,心,s,齒音,齒頭音,全清,送氣,清合3舒聲,ing,梗,清,清,平,合,3,合細
929,頸,巨成,king5,2.14清,群,k,牙音,牙音,全濁,,清開3舒聲,ing,梗,清,清,平,開,3,開細
930,𧵣,火營,hing1,2.14清,曉,h,喉音,喉音,次清,送氣,清合3舒聲,ing,梗,清,清,平,合,3,合細
931,靑,倉經,ching1,2.15青,清,ch,齒音,齒頭音,次清,送氣,青開4舒聲,ing,梗,青,青,平,開,4,開細
932,經,古靈,king1,2.15青,見,k,牙音,牙音,全清,發聲,青開4舒聲,ing,梗,青,青,平,開,4,開細
933,㓝,戸經,hing5,2.15青,匣,h,喉音,喉音,全濁,送氣,青開4舒聲,ing,梗,青,青,平,開,4,開細
934,庭,特丁,ting5,2.15青,定,t,舌音,舌頭音,全濁,,青開4舒聲,ing,梗,青,青,平,開,4,開細
935,丁,當經,ting1,2.15青,端,t,舌音,舌頭音,全清,發聲,青開4舒聲,ing,梗,青,青,平,開,4,開細
936,馨,呼刑,hing1,2.15青,曉,h,喉音,喉音,次清,送氣,青開4舒聲,ing,梗,青,青,平,開,4,開細
937,星,桑經,sing1,2.15青,心,s,齒音,齒頭音,全清,送氣,青開4舒聲,ing,梗,青,青,平,開,4,開細
938,竮,普丁,phing1,2.15青,滂,ph,脣音,重脣音,次清,送氣,青開4舒聲,ing,梗,青,青,平,開,4,開細
939,靈,郎丁,ling5,2.15青,來,l,半舌音,半舌,次濁,收聲,青開4舒聲,ing,梗,青,青,平,開,4,開細
940,寧,奴丁,ling5,2.15青,泥,l,舌音,舌頭音,次濁,收聲,青開4舒聲,ing,梗,青,青,平,開,4,開細
941,汀,他丁,thing1,2.15青,透,th,舌音,舌頭音,次清,送氣,青開4舒聲,ing,梗,青,青,平,開,4,開細
942,冥,莫經,bing5,2.15青,明,b,脣音,重脣音,次濁,收聲,青開4舒聲,ing,梗,青,青,平,開,4,開細
943,瓶,薄經,ping5,2.15青,並,p,脣音,重脣音,全濁,,青開4舒聲,ing,梗,青,青,平,開,4,開細
944,熒,戸扃,hing5,2.15青,匣,h,喉音,喉音,全濁,送氣,青合3舒聲,ing,梗,青,青,平,合,3,合細
945,扃,古螢,king1,2.15青,見,k,牙音,牙音,全清,發聲,青合3舒聲,ing,梗,青,青,平,合,3,合細
946,蒸,煑仍,cing1,2.16蒸,章,c,齒音,正齒近舌上,全清,發聲,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
947,承,署陵,sing5,2.16蒸,禪,s,齒音,正齒近齒頭,全濁,送氣,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
948,澂,直陵,ting5,2.16蒸,澄,t,舌音,舌上音,全濁,,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
949,陵,力膺,ling5,2.16蒸,來,l,半舌音,半舌,次濁,收聲,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
950,膺,於陵,Øing1,2.16蒸,影,Ø,喉音,喉音,全清,發聲,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
951,凭,扶冰,hing5,2.16蒸,奉,h,脣音,輕脣音,全濁,,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
952,冫,筆陵,ping1,2.16蒸,幫,p,脣音,重脣音,全清,發聲,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
953,蠅,余陵,Øing5,2.16蒸,以,Ø,喉音,喉音,次濁,發聲,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
954,繩,食陵,sing5,2.16蒸,船,s,齒音,正齒近舌上,全濁,送氣,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
955,升,識蒸,sing1,2.16蒸,書,s,齒音,正齒近舌上,全清,送氣,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
956,仍,如乗,jing5,2.16蒸,日,j,半齒音,半齒,次濁,收聲,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
957,兢,居陵,king1,2.16蒸,見,k,牙音,牙音,全清,發聲,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
958,徵,陟陵,ting1,2.16蒸,知,t,舌音,舌上音,全清,發聲,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
959,繒,疾陵,cing5,2.16蒸,從,c,齒音,齒頭音,全濁,,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
960,凝,魚陵,ging5,2.16蒸,疑,g,牙音,牙音,次濁,收聲,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
961,興,虚陵,hing1,2.16蒸,曉,h,喉音,喉音,次清,送氣,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
962,稱,處陵,ching1,2.16蒸,昌,ch,齒音,正齒近舌上,次清,送氣,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
963,殑,其矜,king5,2.16蒸,群,k,牙音,牙音,全濁,,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
964,㱡,山矜,sing1,2.16蒸,生,s,齒音,正齒近齒頭,全清,送氣,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
965,硱,綺兢,khing1,2.16蒸,溪,kh,牙音,牙音,次清,送氣,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
966,僜,丑升,thing1,2.16蒸,徹,th,舌音,舌上音,次清,送氣,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
967,磳,仕兢,cing5,2.16蒸,崇,c,齒音,正齒近齒頭,全濁,,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
968,砯,披冰,phing1,2.16蒸,滂,ph,脣音,重脣音,次清,送氣,蒸開3舒聲,ing,曾,蒸,蒸,平,開,3,開細
969,登,都滕,ting1,2.17登,端,t,舌音,舌頭音,全清,發聲,登開1舒聲,ing,曾,登,登,平,開,1,開洪
970,楞,魯登,ling5,2.17登,來,l,半舌音,半舌,次濁,收聲,登開1舒聲,ing,曾,登,登,平,開,1,開洪
971,僧,蘇增,sing1,2.17登,心,s,齒音,齒頭音,全清,送氣,登開1舒聲,ing,曾,登,登,平,開,1,開洪
972,崩,北滕,ping1,2.17登,幫,p,脣音,重脣音,全清,發聲,登開1舒聲,ing,曾,登,登,平,開,1,開洪
973,增,作滕,cing1,2.17登,精,c,齒音,齒頭音,全清,發聲,登開1舒聲,ing,曾,登,登,平,開,1,開洪
974,瞢,武登,bing5,2.17登,微,b,脣音,輕脣音,次濁,收聲,登開1舒聲,ing,曾,登,登,平,開,1,開洪
975,層,昨棱,cing5,2.17登,從,c,齒音,齒頭音,全濁,,登開1舒聲,ing,曾,登,登,平,開,1,開洪
976,朋,步崩,ping5,2.17登,並,p,脣音,重脣音,全濁,,登開1舒聲,ing,曾,登,登,平,開,1,開洪
977,弘,胡肱,hong5,2.17登,匣,h,喉音,喉音,全濁,送氣,登合1舒聲,ong,曾,登,登,平,合,1,合洪
978,肱,古弘,kong1,2.17登,見,k,牙音,牙音,全清,發聲,登合1舒聲,ong,曾,登,登,平,合,1,合洪
979,薨,呼肱,hong1,2.17登,曉,h,喉音,喉音,次清,送氣,登合1舒聲,ong,曾,登,登,平,合,1,合洪
980,能,奴登,ling5,2.17登,泥,l,舌音,舌頭音,次濁,收聲,登開1舒聲,ing,曾,登,登,平,開,1,開洪
981,騰,徒登,ting5,2.17登,定,t,舌音,舌頭音,全濁,,登開1舒聲,ing,曾,登,登,平,開,1,開洪
982,恒,胡登,hing5,2.17登,匣,h,喉音,喉音,全濁,送氣,登開1舒聲,ing,曾,登,登,平,開,1,開洪
983,搄,古恒,king1,2.17登,見,k,牙音,牙音,全清,發聲,登開1舒聲,ing,曾,登,登,平,開,1,開洪
984,鼟,他登,thing1,2.17登,透,th,舌音,舌頭音,次清,送氣,登開1舒聲,ing,曾,登,登,平,開,1,開洪
985,漰,普朋,phing1,2.17登,滂,ph,脣音,重脣音,次清,送氣,登開1舒聲,ing,曾,登,登,平,開,1,開洪
986,尤,羽求,Øiu5,2.18尤,云,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
987,憂,於求,Øiu1,2.18尤,影,Ø,喉音,喉音,全清,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
988,劉,力求,liu5,2.18尤,來,l,半舌音,半舌,次濁,收聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
989,秋,七由,chiu1,2.18尤,清,ch,齒音,齒頭音,次清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
990,猷,以周,Øiu5,2.18尤,以,Ø,喉音,喉音,次濁,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
991,牛,語求,giu5,2.18尤,疑,g,牙音,牙音,次濁,收聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
992,遒,即由,ciu1,2.18尤,精,c,齒音,齒頭音,全清,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
993,酋,自秋,ciu5,2.18尤,從,c,齒音,齒頭音,全濁,,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
994,脩,息流,siu1,2.18尤,心,s,齒音,齒頭音,全清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
995,抽,丑鳩,thiu1,2.18尤,徹,th,舌音,舌上音,次清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
996,恘,去秋,khiu1,2.18尤,溪,kh,牙音,牙音,次清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
997,犫,赤周,chiu1,2.18尤,昌,ch,齒音,正齒近舌上,次清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
998,周,職流,ciu1,2.18尤,章,c,齒音,正齒近舌上,全清,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
999,讎,市流,siu5,2.18尤,禪,s,齒音,正齒近齒頭,全濁,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1000,柔,耳由,jiu5,2.18尤,日,j,半齒音,半齒,次濁,收聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1001,收,式州,siu1,2.18尤,書,s,齒音,正齒近舌上,全清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1002,丘,去鳩,khiu1,2.18尤,溪,kh,牙音,牙音,次清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1003,䬌,匹尤,phiu1,2.18尤,滂,ph,脣音,重脣音,次清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1004,鳩,居求,kiu1,2.18尤,見,k,牙音,牙音,全清,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1005,不,甫鳩,hiu1,2.18尤,非,h,脣音,輕脣音,全清,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1006,𢯱,所鳩,siu1,2.18尤,生,s,齒音,正齒近齒頭,全清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1007,搊,楚鳩,chiu1,2.18尤,初,ch,齒音,正齒近齒頭,次清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1008,鄒,側鳩,ciu1,2.18尤,莊,c,齒音,正齒近齒頭,全清,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1009,愁,士尤,ciu5,2.18尤,崇,c,齒音,正齒近齒頭,全濁,,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1010,休,許尤,hiu1,2.18尤,曉,h,喉音,喉音,次清,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1011,囚,似尤,siu5,2.18尤,邪,s,齒音,齒頭音,全濁,送氣,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1012,儔,直由,tiu5,2.18尤,澄,t,舌音,舌上音,全濁,,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1013,輈,張流,tiu1,2.18尤,知,t,舌音,舌上音,全清,發聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1014,𧚍,巨鳩,kiu5,2.18尤,群,k,牙音,牙音,全濁,,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1015,浮,縛謀,hiu5,2.18尤,奉,h,脣音,輕脣音,全濁,,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1016,謀,莫浮,biu5,2.18尤,明,b,脣音,重脣音,次濁,收聲,尤開3舒聲,iu,流,尤,尤,平,開,3,開細
1017,侯,戸鉤,hio5,2.19侯,匣,h,喉音,喉音,全濁,送氣,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1018,謳,烏侯,Øio1,2.19侯,影,Ø,喉音,喉音,全清,發聲,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1019,羺,奴鉤,lio5,2.19侯,泥,l,舌音,舌頭音,次濁,收聲,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1020,樓,落侯,lio5,2.19侯,來,l,半舌音,半舌,次濁,收聲,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1021,涑,速侯,sio1,2.19侯,心,s,齒音,齒頭音,全清,送氣,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1022,彄,恪侯,khio1,2.19侯,溪,kh,牙音,牙音,次清,送氣,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1023,齁,呼侯,hio1,2.19侯,曉,h,喉音,喉音,次清,送氣,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1024,𣠏,子侯,cio1,2.19侯,精,c,齒音,齒頭音,全清,發聲,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1025,偷,託侯,thio1,2.19侯,透,th,舌音,舌頭音,次清,送氣,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1026,頭,度侯,tio5,2.19侯,定,t,舌音,舌頭音,全濁,,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1027,齵,五婁,gio5,2.19侯,疑,g,牙音,牙音,次濁,收聲,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1028,鉤,古侯,kio1,2.19侯,見,k,牙音,牙音,全清,發聲,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1029,兠,當侯,tio1,2.19侯,端,t,舌音,舌頭音,全清,發聲,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1030,㔌,徂鉤,cio5,2.19侯,從,c,齒音,齒頭音,全濁,,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1031,裒,薄侯,pio5,2.19侯,並,p,脣音,重脣音,全濁,,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1032,䜅,千侯,chio1,2.19侯,清,ch,齒音,齒頭音,次清,送氣,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1033,呣,亡侯,bio5,2.19侯,微,b,脣音,輕脣音,次濁,收聲,侯開3舒聲,io,流,侯,侯,平,開,3,開細
1034,幽,於虯,Øiu1,2.20幽,影,Ø,喉音,喉音,全清,發聲,幽開3舒聲,iu,流,幽,幽,平,開,3,開細
1035,虯,渠幽,kiu5,2.20幽,群,k,牙音,牙音,全濁,,幽開3舒聲,iu,流,幽,幽,平,開,3,開細
1036,彪,甫烋,hiu1,2.20幽,非,h,脣音,輕脣音,全清,發聲,幽開3舒聲,iu,流,幽,幽,平,開,3,開細
1037,鏐,力幽,liu5,2.20幽,來,l,半舌音,半舌,次濁,收聲,幽開3舒聲,iu,流,幽,幽,平,開,3,開細
1038,樛,居虯,kiu1,2.20幽,見,k,牙音,牙音,全清,發聲,幽開3舒聲,iu,流,幽,幽,平,開,3,開細
1039,淲,皮彪,piu5,2.20幽,並,p,脣音,重脣音,全濁,,幽開3舒聲,iu,流,幽,幽,平,開,3,開細
1040,稵,子幽,ciu1,2.20幽,精,c,齒音,齒頭音,全清,發聲,幽開3舒聲,iu,流,幽,幽,平,開,3,開細
1041,犙,山幽,siu1,2.20幽,生,s,齒音,正齒近齒頭,全清,送氣,幽開3舒聲,iu,流,幽,幽,平,開,3,開細
1042,聱,語虯,giu5,2.20幽,疑,g,牙音,牙音,次濁,收聲,幽開3舒聲,iu,流,幽,幽,平,開,3,開細
1043,飍,香幽,hiu1,2.20幽,曉,h,喉音,喉音,次清,送氣,幽開3舒聲,iu,流,幽,幽,平,開,3,開細
1044,繆,武彪,biu5,2.20幽,微,b,脣音,輕脣音,次濁,收聲,幽開3舒聲,iu,流,幽,幽,平,開,3,開細
1045,侵,七林,chim1,2.21侵,清,ch,齒音,齒頭音,次清,送氣,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1046,尋,徐林,sim5,2.21侵,邪,s,齒音,齒頭音,全濁,送氣,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1047,林,力尋,lim5,2.21侵,來,l,半舌音,半舌,次濁,收聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1048,琛,丑林,thim1,2.21侵,徹,th,舌音,舌上音,次清,送氣,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1049,斟,職深,cim1,2.21侵,章,c,齒音,正齒近舌上,全清,發聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1050,沈,直深,tim5,2.21侵,澄,t,舌音,舌上音,全濁,,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1051,碪,知林,tim1,2.21侵,知,t,舌音,舌上音,全清,發聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1052,諶,氏任,sim5,2.21侵,禪,s,齒音,正齒近齒頭,全濁,送氣,侵開3舒聲,im,深,侵,沁,去,開,3,開細
1053,任,如林,jim5,2.21侵,日,j,半齒音,半齒,次濁,收聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1054,深,式針,sim1,2.21侵,書,s,齒音,正齒近舌上,全清,送氣,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1055,淫,餘針,Øim5,2.21侵,以,Ø,喉音,喉音,次濁,發聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1056,心,息林,sim1,2.21侵,心,s,齒音,齒頭音,全清,送氣,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1057,愔,挹淫,Øim1,2.21侵,影,Ø,喉音,喉音,全清,發聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1058,祲,子心,cim1,2.21侵,精,c,齒音,齒頭音,全清,發聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1059,𩷒,昨淫,cim5,2.21侵,從,c,齒音,齒頭音,全濁,,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1060,䛘,女心,lim5,2.21侵,娘,l,舌音,舌上音,次濁,收聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1061,琴,巨金,kim5,2.21侵,群,k,牙音,牙音,全濁,,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1062,欽,去金,khim1,2.21侵,溪,kh,牙音,牙音,次清,送氣,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1063,吟,魚金,gim5,2.21侵,疑,g,牙音,牙音,次濁,收聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1064,歆,許金,him1,2.21侵,曉,h,喉音,喉音,次清,送氣,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1065,金,居吟,kim1,2.21侵,見,k,牙音,牙音,全清,發聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1066,音,於金,Øim1,2.21侵,影,Ø,喉音,喉音,全清,發聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1067,森,所今,sim1,2.21侵,生,s,齒音,正齒近齒頭,全清,送氣,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1068,岑,鋤針,cim5,2.21侵,崇,c,齒音,正齒近齒頭,全濁,,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1069,旡,側吟,cim1,2.21侵,莊,c,齒音,正齒近齒頭,全清,發聲,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1070,嵾,楚簪,chim1,2.21侵,初,ch,齒音,正齒近齒頭,次清,送氣,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1071,𧡪,充針,chim1,2.21侵,昌,ch,齒音,正齒近舌上,次清,送氣,侵開3舒聲,im,深,侵,侵,平,開,3,開細
1072,覃,徒含,tam5,2.22覃,定,t,舌音,舌頭音,全濁,,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1073,參,倉含,cham1,2.22覃,清,ch,齒音,齒頭音,次清,送氣,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1074,南,那含,lam5,2.22覃,泥,l,舌音,舌頭音,次濁,收聲,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1075,諳,烏含,Øam1,2.22覃,影,Ø,喉音,喉音,全清,發聲,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1076,含,胡男,ham5,2.22覃,匣,h,喉音,喉音,全濁,送氣,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1077,婪,盧含,lam5,2.22覃,來,l,半舌音,半舌,次濁,收聲,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1078,蠶,昨含,cam5,2.22覃,從,c,齒音,齒頭音,全濁,,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1079,簪,作含,cam1,2.22覃,精,c,齒音,齒頭音,全清,發聲,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1080,探,他含,tham1,2.22覃,透,th,舌音,舌頭音,次清,送氣,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1081,耽,丁含,tam1,2.22覃,端,t,舌音,舌頭音,全清,發聲,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1082,龕,口含,kham1,2.22覃,溪,kh,牙音,牙音,次清,送氣,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1083,㟏,火含,ham1,2.22覃,曉,h,喉音,喉音,次清,送氣,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1084,毿,蘇含,sam1,2.22覃,心,s,齒音,齒頭音,全清,送氣,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1085,弇,古南,kam1,2.22覃,見,k,牙音,牙音,全清,發聲,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1086,䜙,五含,gam5,2.22覃,疑,g,牙音,牙音,次濁,收聲,覃開1舒聲,am,咸,覃,覃,平,開,1,開洪
1087,談,徒甘,tam5,2.23談,定,t,舌音,舌頭音,全濁,,談開1舒聲,am,咸,談,談,平,開,1,開洪
1088,甘,古三,kam1,2.23談,見,k,牙音,牙音,全清,發聲,談開1舒聲,am,咸,談,談,平,開,1,開洪
1089,擔,都甘,tam1,2.23談,端,t,舌音,舌頭音,全清,發聲,談開1舒聲,am,咸,談,談,平,開,1,開洪
1090,三,蘇甘,sam1,2.23談,心,s,齒音,齒頭音,全清,送氣,談開1舒聲,am,咸,談,談,平,開,1,開洪
1091,藍,魯甘,lam5,2.23談,來,l,半舌音,半舌,次濁,收聲,談開1舒聲,am,咸,談,談,平,開,1,開洪
1092,坩,苦甘,kham1,2.23談,溪,kh,牙音,牙音,次清,送氣,談開1舒聲,am,咸,談,談,平,開,1,開洪
1093,舑,他酣,tham1,2.23談,透,th,舌音,舌頭音,次清,送氣,談開1舒聲,am,咸,談,談,平,開,1,開洪
1094,慙,昨甘,cam5,2.23談,從,c,齒音,齒頭音,全濁,,談開1舒聲,am,咸,談,談,平,開,1,開洪
1095,酣,胡甘,ham5,2.23談,匣,h,喉音,喉音,全濁,送氣,談開1舒聲,am,咸,談,談,平,開,1,開洪
1096,姏,武酣,bam5,2.23談,微,b,脣音,輕脣音,次濁,收聲,談開1舒聲,am,咸,談,談,平,開,1,開洪
1097,𩈻,昨三,cam5,2.23談,從,c,齒音,齒頭音,全濁,,談開1舒聲,am,咸,談,談,平,開,1,開洪
1098,蚶,呼談,ham1,2.23談,曉,h,喉音,喉音,次清,送氣,談開1舒聲,am,咸,談,談,平,開,1,開洪
1099,鹽,余廉,Øiam5,2.24鹽,以,Ø,喉音,喉音,次濁,發聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1100,廉,力鹽,liam5,2.24鹽,來,l,半舌音,半舌,次濁,收聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1101,砭,府廉,hiam1,2.24鹽,非,h,脣音,輕脣音,全清,發聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1102,銛,息廉,siam1,2.24鹽,心,s,齒音,齒頭音,全清,送氣,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1103,籤,七廉,chiam1,2.24鹽,清,ch,齒音,齒頭音,次清,送氣,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1104,詹,職廉,ciam1,2.24鹽,章,c,齒音,正齒近舌上,全清,發聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1105,棎,視占,siam5,2.24鹽,禪,s,齒音,正齒近齒頭,全濁,送氣,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1106,苫,失廉,siam1,2.24鹽,書,s,齒音,正齒近舌上,全清,送氣,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1107,䪜,處占,chiam1,2.24鹽,昌,ch,齒音,正齒近舌上,次清,送氣,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1108,𩓾,汝鹽,jiam5,2.24鹽,日,j,半齒音,半齒,次濁,收聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1109,黏,女廉,liam5,2.24鹽,娘,l,舌音,舌上音,次濁,收聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1110,炎,于廉,Øiam5,2.24鹽,云,Ø,喉音,喉音,次濁,發聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1111,霑,張廉,tiam1,2.24鹽,知,t,舌音,舌上音,全清,發聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1112,覘,丑廉,thiam1,2.24鹽,徹,th,舌音,舌上音,次清,送氣,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1113,淹,央炎,Øiam1,2.24鹽,影,Ø,喉音,喉音,全清,發聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1114,𢜩,丘廉,khiam1,2.24鹽,溪,kh,牙音,牙音,次清,送氣,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1115,𪙊,語廉,giam5,2.24鹽,疑,g,牙音,牙音,次濁,收聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1116,尖,子廉,ciam1,2.24鹽,精,c,齒音,齒頭音,全清,發聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1117,潛,昨鹽,ciam5,2.24鹽,從,c,齒音,齒頭音,全濁,,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1118,箝,巨淹,kiam5,2.24鹽,群,k,牙音,牙音,全濁,,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1119,懕,一鹽,Øiam1,2.24鹽,影,Ø,喉音,喉音,全清,發聲,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
1120,燅,徐鹽,siam5,2.24鹽,邪,s,齒音,齒頭音,全濁,送氣,鹽開4舒聲,iam,咸,鹽,鹽,平,開,4,開細
