小韻識別號,上字表識別號,下字表識別號,小韻字,小韻切語,小韻標音,小韻目次,小韻字序號,廣韻聲母,七聲類,發音部位,清濁,發送收,聲母碼,聲母國際音標,白話字聲母,閩拼聲母,台羅聲母,方音聲母,十五音聲母,廣韻韻母,目次,攝,韻系,韻目,調,呼,等,等呼,韻母碼,韻母國際音標,白話字韻母,閩拼韻母,台羅韻母,方音韻母,十五音韻母
2374,1,63,閉,博計,pe3,4.12霽,14,幫,脣音,重脣音,全清,發聲,p,p,p,b,p,ㄅ,邊,齊開4舒聲,4.12霽,蟹,齊,霽,去,開,4,開細,e,e,e,e,e,ㆤ,伽
2375,38,67,慧,胡桂,hue7,4.12霽,15,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,齊合4舒聲,4.12霽,蟹,齊,霽,去,合,4,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2376,17,67,桂,古惠,kue3,4.12霽,16,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,齊合4舒聲,4.12霽,蟹,齊,霽,去,合,4,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2377,37,67,嘒,呼惠,hue3,4.12霽,17,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,齊合4舒聲,4.12霽,蟹,齊,霽,去,合,4,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2378,2,63,媲,匹詣,phe3,4.12霽,18,滂,脣音,重脣音,次清,送氣,ph,pʰ,ph,p,ph,ㄆ,頗,齊開4舒聲,4.12霽,蟹,齊,霽,去,開,4,開細,e,e,e,e,e,ㆤ,伽
2379,3,63,薜,蒲計,pe7,4.12霽,19,並,脣音,重脣音,全濁,,p,p,p,b,p,ㄅ,邊,齊開4舒聲,4.12霽,蟹,齊,霽,去,開,4,開細,e,e,e,e,e,ㆤ,伽
2380,41,63,麗,郎計,le7,4.12霽,20,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,齊開4舒聲,4.12霽,蟹,齊,霽,去,開,4,開細,e,e,e,e,e,ㆤ,伽
2381,12,63,泥,奴計,le7,4.12霽,22,泥,舌音,舌頭音,次濁,收聲,l,l,l,l,l,ㄌ,柳,齊開4舒聲,4.12霽,蟹,齊,霽,去,開,4,開細,e,e,e,e,e,ㆤ,伽
2382,37,63,㰥,呼計,he3,4.12霽,23,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,齊開4舒聲,4.12霽,蟹,齊,霽,去,開,4,開細,e,e,e,e,e,ㆤ,伽
2383,21,71,祭,子例,ce3,4.13祭,1,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2384,24,75,歲,相銳,sue3,4.13祭,2,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2385,40,75,衞,于歲,Øue7,4.13祭,3,云,喉音,喉音,次濁,發聲,Ø,,,,,,英,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2386,42,75,芮,而銳,jue7,4.13祭,4,日,半齒音,半齒,次濁,收聲,j,ʣ,j,zz,j,ㆡ,入,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2387,27,75,贅,之銳,cue3,4.13祭,5,章,齒音,正齒近舌上,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2388,32,75,𠻜,山芮,sue3,4.13祭,6,生,齒音,正齒近齒頭,全清,送氣,s,s,s,s,s,ㄙ,時,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2389,22,75,毳,此芮,chue3,4.13祭,7,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2390,39,75,銳,以芮,Øue7,4.13祭,8,以,喉音,喉音,次濁,發聲,Ø,,,,,,英,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2391,13,75,綴,陟衛,tue3,4.13祭,9,知,舌音,舌上音,全清,發聲,t,t,t,d,t,ㄉ,地,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2392,33,75,稅,舒芮,sue3,4.13祭,10,書,齒音,正齒近舌上,全清,送氣,s,s,s,s,s,ㄙ,時,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2393,3,71,獘,毗祭,pe7,4.13祭,11,並,脣音,重脣音,全濁,,p,p,p,b,p,ㄅ,邊,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2394,28,75,㯔,楚稅,chue3,4.13祭,12,初,齒音,正齒近齒頭,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2395,25,75,篲,祥歲,sue7,4.13祭,13,邪,齒音,齒頭音,全濁,送氣,s,s,s,s,s,ㄙ,時,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2396,1,71,蔽,必袂,pe3,4.13祭,14,幫,脣音,重脣音,全清,發聲,p,p,p,b,p,ㄅ,邊,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2397,17,75,劌,居衛,kue3,4.13祭,15,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2398,4,71,袂,彌𡚁,be7,4.13祭,16,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2399,32,71,㡜,所例,se3,4.13祭,17,生,齒音,正齒近齒頭,全清,送氣,s,s,s,s,s,ㄙ,時,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2400,29,71,掣,尺制,che3,4.13祭,18,昌,齒音,正齒近舌上,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2401,27,71,制,征例,ce3,4.13祭,19,章,齒音,正齒近舌上,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2402,34,71,逝,時制,se7,4.13祭,20,禪,齒音,正齒近齒頭,全濁,送氣,s,s,s,s,s,ㄙ,時,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2403,39,71,曵,餘制,Øe7,4.13祭,21,以,喉音,喉音,次濁,發聲,Ø,,,,,,英,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2404,36,71,䋵,於罽,Øe3,4.13祭,22,影,喉音,喉音,全清,發聲,Ø,,,,,,英,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2405,20,71,藝,魚祭,ge7,4.13祭,23,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2406,15,71,滯,直例,te7,4.13祭,24,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2407,41,71,例,力制,le7,4.13祭,25,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2408,18,71,憩,去例,khe3,4.13祭,26,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2409,33,71,丗,舒制,se3,4.13祭,27,書,齒音,正齒近舌上,全清,送氣,s,s,s,s,s,ㄙ,時,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2410,17,71,猘,居例,ke3,4.13祭,28,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2411,13,71,㿃,竹例,te3,4.13祭,29,知,舌音,舌上音,全清,發聲,t,t,t,d,t,ㄉ,地,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2412,19,71,偈,其憩,ke7,4.13祭,30,群,牙音,牙音,全濁,,k,k,k,g,k,ㄍ,求,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2413,34,75,啜,甞芮,sue7,4.13祭,31,禪,齒音,正齒近齒頭,全濁,送氣,s,s,s,s,s,ㄙ,時,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2414,14,71,跇,丑例,the3,4.13祭,32,徹,舌音,舌上音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2415,15,75,𨮱,除芮,tue7,4.13祭,33,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2416,20,71,㓷,牛例,ge7,4.13祭,34,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2417,21,75,蕝,子芮,cue3,4.13祭,35,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,祭合3舒聲,4.13祭,蟹,祭,祭,去,合,3,合細,ue,ue,oe,ue,ue,ㄨㆤ,檜
2418,2,71,潎,匹蔽,phe3,4.13祭,36,滂,脣音,重脣音,次清,送氣,ph,pʰ,ph,p,ph,ㄆ,頗,祭開3舒聲,4.13祭,蟹,祭,祭,去,開,3,開細,e,e,e,e,e,ㆤ,伽
2419,18,119,𥏙,丘吠,khue3,4.13祭,37,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,廢合1舒聲,4.20廢,蟹,廢,廢,去,合,1,合洪,ue,ue,oe,ue,ue,ㄨㆤ,檜
2420,37,119,䂕,呼吠,hue3,4.13祭,38,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,廢合1舒聲,4.20廢,蟹,廢,廢,去,合,1,合洪,ue,ue,oe,ue,ue,ㄨㆤ,檜
2421,10,79,泰,他蓋,thai3,4.14泰,1,透,舌音,舌頭音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,,,,,,,,,,,,,,,,
2422,17,79,蓋,古太,kai3,4.14泰,2,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,,,,,,,,,,,,,,,,
2423,20,79,艾,五蓋,gai7,4.14泰,3,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,,,,,,,,,,,,,,,,
2424,36,79,藹,於蓋,Øai3,4.14泰,4,影,喉音,喉音,全清,發聲,Ø,,,,,,英,,,,,,,,,,,,,,,,
2425,12,79,柰,奴帶,lai7,4.14泰,5,泥,舌音,舌頭音,次濁,收聲,l,l,l,l,l,ㄌ,柳,,,,,,,,,,,,,,,,
2426,11,79,大,徒蓋,tai7,4.14泰,6,定,舌音,舌頭音,全濁,,t,t,t,d,t,ㄉ,地,,,,,,,,,,,,,,,,
2427,38,79,害,胡蓋,hai7,4.14泰,7,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,,,,,,,,,,,,,,,,
2428,9,79,帶,當蓋,tai3,4.14泰,8,端,舌音,舌頭音,全清,發聲,t,t,t,d,t,ㄉ,地,,,,,,,,,,,,,,,,
2429,1,79,貝,愽蓋,pai3,4.14泰,9,幫,脣音,重脣音,全清,發聲,p,p,p,b,p,ㄅ,邊,,,,,,,,,,,,,,,,
2430,2,79,霈,普蓋,phai3,4.14泰,10,滂,脣音,重脣音,次清,送氣,ph,pʰ,ph,p,ph,ㄆ,頗,,,,,,,,,,,,,,,,
2431,38,83,會,黃外,hua7,4.14泰,11,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2432,11,83,兊,杜外,tua7,4.14泰,12,定,舌音,舌頭音,全濁,,t,t,t,d,t,ㄉ,地,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2433,17,83,儈,古外,kua3,4.14泰,13,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2434,21,83,最,祖外,cua3,4.14泰,14,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2435,37,83,𧬨,呼會,hua3,4.14泰,15,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2436,18,83,𥢶,苦會,khua3,4.14泰,16,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2437,41,83,酹,郎外,lua7,4.14泰,17,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2438,20,83,外,五會,gua7,4.14泰,18,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2439,9,83,祋,丁外,tua3,4.14泰,19,端,舌音,舌頭音,全清,發聲,t,t,t,d,t,ㄉ,地,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2440,36,83,懀,烏外,Øua3,4.14泰,20,影,喉音,喉音,全清,發聲,Ø,,,,,,英,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2441,23,83,蕞,才外,cua7,4.14泰,21,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2442,24,83,𥕸,先外,sua3,4.14泰,22,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2443,22,83,襊,麤最,chua3,4.14泰,23,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2444,3,79,旆,蒲蓋,pai7,4.14泰,24,並,脣音,重脣音,全濁,,p,p,p,b,p,ㄅ,邊,,,,,,,,,,,,,,,,
2445,18,79,磕,苦蓋,khai3,4.14泰,25,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,,,,,,,,,,,,,,,,
2446,22,79,蔡,倉大,chai3,4.14泰,26,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,,,,,,,,,,,,,,,,
2447,41,79,賴,落蓋,lai7,4.14泰,27,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,,,,,,,,,,,,,,,,
2448,37,79,餀,呼艾,hai3,4.14泰,28,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,,,,,,,,,,,,,,,,
2449,10,83,娧,他外,thua3,4.14泰,29,透,舌音,舌頭音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2450,4,83,昧,莫貝,bua7,4.14泰,30,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2451,22,83,𦦣,七外,chua3,4.14泰,31,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,泰合1舒聲,4.14泰,蟹,泰,泰,去,合,1,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2452,17,87,卦,古賣,kai3,4.15卦,1,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2453,17,87,懈,古隘,kai3,4.15卦,2,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2454,38,87,邂,胡懈,hai7,4.15卦,4,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2455,4,87,賣,莫懈,bai7,4.15卦,5,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2456,38,87,畫,胡卦,hai7,4.15卦,6,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2457,28,87,差,楚懈,chai3,4.15卦,7,初,齒音,正齒近齒頭,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2458,20,87,睚,五懈,gai7,4.15卦,8,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2459,37,87,謑,火懈,hai3,4.15卦,9,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2460,5,87,庍,方卦,hai3,4.15卦,10,非,脣音,輕脣音,全清,發聲,h,h,h,h,h,ㄏ,喜,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2461,3,87,粺,傍卦,pai7,4.15卦,11,並,脣音,重脣音,全濁,,p,p,p,b,p,ㄅ,邊,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2462,30,87,㾹,士懈,cai7,4.15卦,12,崇,齒音,正齒近齒頭,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2463,2,87,派,匹卦,phai3,4.15卦,13,滂,脣音,重脣音,次清,送氣,ph,pʰ,ph,p,ph,ㄆ,頗,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2464,26,87,債,側賣,cai3,4.15卦,14,莊,齒音,正齒近齒頭,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2465,18,87,𡢖,苦賣,khai3,4.15卦,15,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2466,32,87,曬,所賣,sai3,4.15卦,16,生,齒音,正齒近齒頭,全清,送氣,s,s,s,s,s,ㄙ,時,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2467,37,87,諣,呼卦,hai3,4.15卦,17,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2468,5,87,㠔,方賣,hai3,4.15卦,18,非,脣音,輕脣音,全清,發聲,h,h,h,h,h,ㄏ,喜,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2469,13,87,膪,竹賣,tai3,4.15卦,19,知,舌音,舌上音,全清,發聲,t,t,t,d,t,ㄉ,地,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2470,17,99,怪,古壞,kuai3,4.16怪,1,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,皆合2舒聲,4.16怪,蟹,皆,怪,去,合,2,合洪,uai,uai,oai,uai,uai,ㄨㄞ,乖
2471,36,95,噫,烏界,Øai3,4.16怪,2,影,喉音,喉音,全清,發聲,Ø,,,,,,英,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2472,26,95,瘵,側界,cai3,4.16怪,3,莊,齒音,正齒近齒頭,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2473,17,95,誡,古拜,kai3,4.16怪,4,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2474,16,95,褹,女介,lai7,4.16怪,5,娘,舌音,舌上音,次濁,收聲,l,l,l,l,l,ㄌ,柳,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2475,37,95,譮,許介,hai3,4.16怪,6,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2476,38,95,械,胡介,hai7,4.16怪,7,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2477,20,95,𦗐,五介,gai7,4.16怪,8,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2478,18,99,蒯,苦怪,khuai3,4.16怪,9,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,皆合2舒聲,4.16怪,蟹,皆,怪,去,合,2,合洪,uai,uai,oai,uai,uai,ㄨㄞ,乖
2479,1,99,𢷎,博怪,puai3,4.16怪,10,幫,脣音,重脣音,全清,發聲,p,p,p,b,p,ㄅ,邊,皆合2舒聲,4.16怪,蟹,皆,怪,去,合,2,合洪,uai,uai,oai,uai,uai,ㄨㄞ,乖
2480,2,95,湃,普拜,phai3,4.16怪,11,滂,脣音,重脣音,次清,送氣,ph,pʰ,ph,p,ph,ㄆ,頗,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2481,38,99,壞,胡怪,huai7,4.16怪,12,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,皆合2舒聲,4.16怪,蟹,皆,怪,去,合,2,合洪,uai,uai,oai,uai,uai,ㄨㄞ,乖
2482,20,99,聵,五怪,guai7,4.16怪,13,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,皆合2舒聲,4.16怪,蟹,皆,怪,去,合,2,合洪,uai,uai,oai,uai,uai,ㄨㄞ,乖
2483,3,95,𢟡,蒲拜,pai7,4.16怪,14,並,脣音,重脣音,全濁,,p,p,p,b,p,ㄅ,邊,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2484,4,95,䀛,莫拜,bai7,4.16怪,15,明,脣音,重脣音,次濁,收聲,b,b,b,bb,b,ㆠ,門,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2485,37,99,𧱳,火怪,huai3,4.16怪,16,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,皆合2舒聲,4.16怪,蟹,皆,怪,去,合,2,合洪,uai,uai,oai,uai,uai,ㄨㄞ,乖
2486,32,95,鎩,所拜,sai3,4.16怪,17,生,齒音,正齒近齒頭,全清,送氣,s,s,s,s,s,ㄙ,時,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2487,18,95,烗,苦戒,khai3,4.16怪,18,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,皆開2舒聲,4.16怪,蟹,皆,怪,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
2488,10,99,顡,他怪,thuai3,4.16怪,19,透,舌音,舌頭音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,皆合2舒聲,4.16怪,蟹,皆,怪,去,合,2,合洪,uai,uai,oai,uai,uai,ㄨㄞ,乖
2489,17,87,夬,古賣,kai3,4.17夬,1,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,佳開2舒聲,4.15卦,蟹,佳,卦,去,開,2,開洪,ai,ai,ai,ai,ai,ㄞ,皆
