小韻識別號,上字表識別號,下字表識別號,小韻字,小韻切語,小韻標音,小韻目次,小韻字序號,廣韻聲母,七聲類,發音部位,清濁,發送收,聲母碼,聲母國際音標,白話字聲母,閩拼聲母,台羅聲母,方音聲母,十五音聲母,廣韻韻母,目次,攝,韻系,韻目,調,呼,等,等呼,韻母碼,韻母國際音標,白話字韻母,閩拼韻母,台羅韻母,方音韻母,十五音韻母
2874,21,239,唶,子夜,cia3,4.40禡,18,精,齒音,齒頭音,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,麻開3舒聲,4.40禡,假,麻,禡,去,開,3,開細,ia,ia,ia,ia,ia,ㄧㄚ,迦
2875,33,239,舎,始夜,sia3,4.40禡,19,書,齒音,正齒近舌上,全清,送氣,s,s,s,s,s,ㄙ,時,麻開3舒聲,4.40禡,假,麻,禡,去,開,3,開細,ia,ia,ia,ia,ia,ㄧㄚ,迦
2876,35,239,射,神夜,sia7,4.40禡,20,船,齒音,正齒近舌上,全濁,送氣,s,s,s,s,s,ㄙ,時,麻開3舒聲,4.40禡,假,麻,禡,去,開,3,開細,ia,ia,ia,ia,ia,ㄧㄚ,迦
2877,1,231,霸,必駕,pa3,4.40禡,21,幫,脣音,重脣音,全清,發聲,p,p,p,b,p,ㄅ,邊,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2878,2,231,帊,普駕,pha3,4.40禡,22,滂,脣音,重脣音,次清,送氣,ph,pʰ,ph,p,ph,ㄆ,頗,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2879,38,235,摦,胡化,hua7,4.40禡,23,匣,喉音,喉音,全濁,送氣,h,h,h,h,h,ㄏ,喜,麻合2舒聲,4.40禡,假,麻,禡,去,合,2,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2880,37,235,化,呼霸,hua3,4.40禡,24,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,麻合2舒聲,4.40禡,假,麻,禡,去,合,2,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2881,18,235,跨,苦化,khua3,4.40禡,25,溪,牙音,牙音,次清,送氣,kh,kʰ,kh,k,kh,ㄎ,去,麻合2舒聲,4.40禡,假,麻,禡,去,合,2,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2882,32,235,誜,所化,sua3,4.40禡,26,生,齒音,正齒近齒頭,全清,送氣,s,s,s,s,s,ㄙ,時,麻合2舒聲,4.40禡,假,麻,禡,去,合,2,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2883,3,231,𤝡,白駕,pa7,4.40禡,27,並,脣音,重脣音,全濁,,p,p,p,b,p,ㄅ,邊,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2884,12,231,䏧,乃亞,la7,4.40禡,28,泥,舌音,舌頭音,次濁,收聲,l,l,l,l,l,ㄌ,柳,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2885,22,239,笪,遷謝,chia3,4.40禡,29,清,齒音,齒頭音,次清,送氣,ch,ʦʰ,chh,c,tsh,ㄘ,出,麻開3舒聲,4.40禡,假,麻,禡,去,開,3,開細,ia,ia,ia,ia,ia,ㄧㄚ,迦
2886,32,231,嗄,所嫁,sa3,4.40禡,30,生,齒音,正齒近齒頭,全清,送氣,s,s,s,s,s,ㄙ,時,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2887,17,231,坬,古罵,ka3,4.40禡,31,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2888,15,231,䖳,除駕,ta7,4.40禡,32,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,麻開2舒聲,4.40禡,假,麻,禡,去,開,2,開洪,a,a,a,a,a,ㄚ,膠
2889,20,235,瓦,五化,gua7,4.40禡,33,疑,牙音,牙音,次濁,收聲,g,ɡ,g,gg,g,ㆣ,語,麻合2舒聲,4.40禡,假,麻,禡,去,合,2,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2890,36,235,攨,烏㕦,Øua3,4.40禡,34,影,喉音,喉音,全清,發聲,Ø,,,,,,英,麻合2舒聲,4.40禡,假,麻,禡,去,合,2,合洪,ua,ua,oa,ua,ua,ㄨㄚ,瓜
2891,39,243,漾,餘亮,Øiong7,4.41漾,1,以,喉音,喉音,次濁,發聲,Ø,,,,,,英,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2892,41,243,亮,力讓,liong7,4.41漾,2,來,半舌音,半舌,次濁,收聲,l,l,l,l,l,ㄌ,柳,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2893,30,243,狀,鋤亮,ciong7,4.41漾,3,崇,齒音,正齒近齒頭,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2894,42,243,讓,人樣,jiong7,4.41漾,4,日,半齒音,半齒,次濁,收聲,j,ʣ,j,zz,j,ㆡ,入,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2895,33,243,餉,式亮,siong3,4.41漾,5,書,齒音,正齒近舌上,全清,送氣,s,s,s,s,s,ㄙ,時,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2896,13,243,帳,知亮,tiong3,4.41漾,6,知,舌音,舌上音,全清,發聲,t,t,t,d,t,ㄉ,地,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2897,14,243,悵,丑亮,thiong3,4.41漾,7,徹,舌音,舌上音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2898,37,243,向,許亮,hiong3,4.41漾,8,曉,喉音,喉音,次清,送氣,h,h,h,h,h,ㄏ,喜,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2899,15,243,仗,直亮,tiong7,4.41漾,9,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2900,16,243,釀,女亮,liong7,4.41漾,10,娘,舌音,舌上音,次濁,收聲,l,l,l,l,l,ㄌ,柳,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2901,23,243,匠,疾亮,ciong7,4.41漾,11,從,齒音,齒頭音,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2902,27,243,障,之亮,ciong3,4.41漾,12,章,齒音,正齒近舌上,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
2903,34,243,尚,時亮,siong7,4.41漾,13,禪,齒音,正齒近齒頭,全濁,送氣,s,s,s,s,s,ㄙ,時,陽開3舒聲,4.41漾,宕,陽,漾,去,開,3,開細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
