識別號,廣韻韻母識別號,韻系列號,韻系行號,韻目索引,目次識別號,目次,攝,韻系,韻目,調,呼,等,韻母,切語下字集,等呼,韻母拼音碼,備註
173,26,32,1,32-1,32,1.28山,山,山,山,平,開,2,山開2舒聲,間閑山,開洪,an,
174,26,32,2,32-2,93,3.26產,山,山,產,上,開,2,山開2舒聲,簡限,開洪,an,
175,26,32,3,32-3,154,4.31襇,山,山,襇,去,開,2,山開2舒聲,襉襇莧,開洪,an,
176,27,32,4,32-4,215,5.15鎋,山,山,鎋,入,開,2,山開2促聲,瞎轄鎋,開洪,at,
177,71,32,1,32-1,32,1.28山,山,山,山,平,合,2,山合2舒聲,頑鰥頁,合洪,uan,
178,71,32,2,32-2,93,3.26產,山,山,產,上,合,2,山合2舒聲,綰,合洪,uan,
179,71,32,3,32-3,154,4.31襇,山,山,襇,去,合,2,山合2舒聲,幻,合洪,uan,
180,72,32,4,32-4,215,5.15鎋,山,山,鎋,入,合,2,山合2促聲,刮䫄,合洪,uat,
181,11,33,1,33-1,33,2.01先,山,先,先,平,開,4,先開4舒聲,前先賢年堅煙田顛顚,開細,ian,
182,11,33,2,33-2,94,3.27銑,山,先,銑,上,開,4,先開4舒聲,典殄繭峴,開細,ian,
183,11,33,3,33-3,155,4.32霰,山,先,霰,去,開,4,先開4舒聲,佃甸電練麪,開細,ian,
184,12,33,4,33-4,216,5.16屑,山,先,屑,入,開,4,先開4促聲,結屑蔑,開細,iat,
185,13,33,1,33-1,33,2.01先,山,先,先,平,合,2,先合2舒聲,玄涓,合細,ian,
186,13,33,2,33-2,94,3.27銑,山,先,銑,上,合,2,先合2舒聲,泫畎,合細,ian,
187,13,33,3,33-3,155,4.32霰,山,先,霰,去,合,2,先合2舒聲,縣絢麵,合細,ian,
188,14,33,4,33-4,216,5.16屑,山,先,屑,入,合,2,先合2促聲,穴決,合細,iat,
189,15,34,1,34-1,34,2.02仙,山,仙,仙,平,開,3,仙開3舒聲,然仙延連乾焉,開細,ian,
190,15,34,2,34-2,95,3.28獮,山,仙,獮,上,開,3,仙開3舒聲,淺演善輦蹇展翦辨免,開細,ian,
191,15,34,3,34-3,156,4.33線,山,仙,線,去,開,3,仙開3舒聲,箭賤膳扇戰見碾線面彦,開細,ian,
192,16,34,4,34-4,217,5.17薛,山,仙,薛,入,開,3,仙開3促聲,列熱滅竭薛辥别,開細,iat,
193,73,34,1,34-1,34,2.02仙,山,仙,仙,平,合,3,仙合3舒聲,員緣泉權圓專孿攣宣川全貟,合細,uan,
194,73,34,2,34-2,95,3.28獮,山,仙,獮,上,合,3,仙合3舒聲,轉篆兗兖緬,合細,uan,
195,73,34,3,34-3,156,4.33線,山,仙,線,去,合,3,仙合3舒聲,絹囀倦掾戀眷釧卷變,合細,uan,
196,74,34,4,34-4,217,5.17薛,山,仙,薛,入,合,3,仙合3促聲,絕悅劣爇雪輟,合細,uat,
197,78,35,1,35-1,35,2.03蕭,效,蕭,蕭,平,開,4,蕭開4舒聲,彫聊堯么幺蕭,開細,iau,
198,78,35,2,35-2,96,3.29篠,效,蕭,篠,上,開,4,蕭開4舒聲,鳥了皎皛,開細,iau,
199,78,35,3,35-3,157,4.34嘯,效,蕭,嘯,去,開,4,蕭開4舒聲,弔叫嘯,開細,iau,
201,79,36,1,36-1,36,2.04宵,效,宵,宵,平,開,3,宵開3舒聲,邀宵遙嬌消招霄囂焦昭瀌喬嚻,開細,iau,
202,79,36,2,36-2,97,3.30小,效,宵,小,上,開,3,宵開3舒聲,兆小夭沼矯少表,開細,iau,
203,79,36,3,36-3,158,4.35笑,效,宵,笑,去,開,3,宵開3舒聲,召肖照笑𥬇要廟妙,開細,iau,
205,119,37,1,37-1,37,2.05肴,效,肴,肴,平,開,2,肴開2舒聲,交嘲肴茅,開洪,au,
206,119,37,2,37-2,98,3.31巧,效,肴,巧,上,開,2,肴開2舒聲,絞巧飽爪,開洪,au,
207,119,37,3,37-3,159,4.36效,效,肴,效,去,開,2,肴開2舒聲,教敎稍孝皃,開洪,au,
209,86,38,1,38-1,38,2.06豪,效,豪,豪,平,開,1,豪開1舒聲,刀勞牢遭曹袍褒毛襃,開洪,o,
210,86,38,2,38-2,99,3.32晧,效,豪,晧,上,開,1,豪開1舒聲,老晧道浩早抱,開洪,o,
211,86,38,3,38-3,160,4.37号,效,豪,号,去,開,1,豪開1舒聲,到導耗報,開洪,o,
213,87,39,1,39-1,39,2.07歌,果,歌,歌,平,開,1,歌開1舒聲,俄何河歌,開洪,o,
214,87,39,2,39-2,100,3.33哿,果,歌,哿,上,開,1,歌開1舒聲,我可,開洪,o,
215,87,39,3,39-3,161,4.38箇,果,歌,箇,去,開,1,歌開1舒聲,賀佐箇邏个,開洪,o,
217,88,40,1,40-1,40,2.08戈,果,戈,戈,平,合,1,戈合1舒聲,禾戈和靴波婆𦚢𩩆𩨷,合洪,o,
218,88,40,2,40-2,101,3.34果,果,戈,果,上,合,1,戈合1舒聲,火果,合洪,o,
219,88,40,3,40-3,162,4.39過,果,戈,過,去,合,1,戈合1舒聲,臥卧唾過貨,合洪,o,
221,120,40,1,40-1,40,2.08戈,果,戈,戈,平,開,3,戈開3舒聲,迦伽,開細,ia,
222,120,40,2,40-2,101,3.34果,果,戈,果,上,開,3,戈開3舒聲,,開細,ia,
223,120,40,3,40-3,162,4.39過,果,戈,過,去,開,3,戈開3舒聲,,開細,ia,
225,121,40,1,40-1,40,2.08戈,果,戈,戈,平,合,3,戈合3舒聲,脞,合細,ia,
226,121,40,2,40-2,101,3.34果,果,戈,果,上,合,3,戈合3舒聲,,合細,ia,
227,121,40,3,40-3,162,4.39過,果,戈,過,去,合,3,戈合3舒聲,,合細,ia,
229,129,41,1,41-1,41,2.09麻,假,麻,麻,平,開,2,麻開2舒聲,霞加牙巴,開洪,a,
230,129,41,2,41-2,102,3.35馬,假,麻,馬,上,開,2,麻開2舒聲,下雅疋賈,開洪,a,
231,129,41,3,41-3,163,4.40禡,假,麻,禡,去,開,2,麻開2舒聲,駕亞訝嫁罵,開洪,a,
233,110,41,1,41-1,41,2.09麻,假,麻,麻,平,合,2,麻合2舒聲,花瓜華,合洪,ua,
234,110,41,2,41-2,102,3.35馬,假,麻,馬,上,合,2,麻合2舒聲,瓦寡,合洪,ua,
235,110,41,3,41-3,163,4.40禡,假,麻,禡,去,合,2,麻合2舒聲,化霸㕦,合洪,ua,
237,122,41,1,41-1,41,2.09麻,假,麻,麻,平,開,3,麻開3舒聲,遮嗟邪車奢賒,開細,ia,
238,122,41,2,41-2,102,3.35馬,假,麻,馬,上,開,3,麻開3舒聲,也者野冶姐,開細,ia,
239,122,41,3,41-3,163,4.40禡,假,麻,禡,去,開,3,麻開3舒聲,謝夜,開細,ia,
241,84,42,1,42-1,42,2.10陽,宕,陽,陽,平,開,3,陽開3舒聲,章羊張良陽莊方,開細,iong,
242,84,42,2,42-2,103,3.36養,宕,陽,養,上,開,3,陽開3舒聲,兩奬㢡養掌丈,開細,iong,
243,84,42,3,42-3,164,4.41漾,宕,陽,漾,去,開,3,陽開3舒聲,亮讓樣向,開細,iong,
244,85,42,4,42-4,225,5.18藥,宕,陽,藥,入,開,3,陽開3促聲,灼略若爵虐藥約雀勺,開細,iok,
245,32,42,1,42-1,42,2.10陽,宕,陽,陽,平,合,3,陽合3舒聲,王,合細,ong,
246,32,42,2,42-2,103,3.36養,宕,陽,養,上,合,3,陽合3舒聲,往网昉,合細,ong,
247,32,42,3,42-3,164,4.41漾,宕,陽,漾,去,合,3,陽合3舒聲,況放訪妄,合細,ong,
248,33,42,4,42-4,225,5.18藥,宕,陽,藥,入,合,3,陽合3促聲,钁縛籰,合細,ok,
249,34,43,1,43-1,43,2.11唐,宕,唐,唐,平,開,1,唐開1舒聲,郎當剛岡,開洪,ong,
250,34,43,2,43-2,104,3.37蕩,宕,唐,蕩,上,開,1,唐開1舒聲,朗黨,開洪,ong,
251,34,43,3,43-3,165,4.42宕,宕,唐,宕,去,開,1,唐開1舒聲,浪宕,開洪,ong,
