識別號,漢字,切音,字韻,聲調,原資料拼音,舒促聲,聲,韻,調,拼音碼,雅俗通標音,十五音標音,常用度
172,腯,他,君,上上,thun2,舒聲,th,un,2,thun2,君上上聲他,君二他,
173,𦝬,他,君,上上,thun2,舒聲,th,un,2,thun2,君上上聲他,君二他,
174,准,曾,君,上上,tsun2,舒聲,z,un,2,zun2,君上上聲曾,君二曾,
175,凖,曾,君,上上,tsun2,舒聲,z,un,2,zun2,君上上聲曾,君二曾,0.01
176,𠟃,曾,君,上上,tsun2,舒聲,z,un,2,zun2,君上上聲曾,君二曾,
177,撙,曾,君,上上,tsun2,舒聲,z,un,2,zun2,君上上聲曾,君二曾,
178,僔,曾,君,上上,tsun2,舒聲,z,un,2,zun2,君上上聲曾,君二曾,
179,準,曾,君,上上,tsun2,舒聲,z,un,2,zun2,君上上聲曾,君二曾,
180,隼,曾,君,上上,tsun2,舒聲,z,un,2,zun2,君上上聲曾,君二曾,
181,鶽,曾,君,上上,tsun2,舒聲,z,un,2,zun2,君上上聲曾,君二曾,
182,鱒,曾,君,上上,tsun2,舒聲,z,un,2,zun2,君上上聲曾,君二曾,
183,噂,曾,君,上上,tsun2,舒聲,z,un,2,zun2,君上上聲曾,君二曾,
184,繜,曾,君,上上,tsun2,舒聲,z,un,2,zun2,君上上聲曾,君二曾,
185,損,時,君,上上,sun2,舒聲,s,un,2,sun2,君上上聲時,君二時,
186,榫,時,君,上上,sun2,舒聲,s,un,2,sun2,君上上聲時,君二時,
187,筍,時,君,上上,sun2,舒聲,s,un,2,sun2,君上上聲時,君二時,
188,笋,時,君,上上,sun2,舒聲,s,un,2,sun2,君上上聲時,君二時,0.01
189,簨,時,君,上上,sun2,舒聲,s,un,2,sun2,君上上聲時,君二時,
190,允,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,
191,𠃔,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,0.01
192,狁,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,
193,吮,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,
194,隕,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,
195,殞,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,
196,傊,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,
197,穩,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,
198,賱,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,
199,䪳,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,
200,愪,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,
201,磒,英,君,上上,un2,舒聲,q,un,2,qun2,君上上聲英,君二英,
202,刎,門,君,上上,bun2,舒聲,b,un,2,bun2,君上上聲門,君二門,
203,吻,門,君,上上,bun2,舒聲,b,un,2,bun2,君上上聲門,君二門,
204,蚊,門,君,上上,bun2,舒聲,b,un,2,bun2,君上上聲門,君二門,
205,蚉,門,君,上上,bun2,舒聲,b,un,2,bun2,君上上聲門,君二門,0.01
206,瞞,門,君,上上,bun2,舒聲,b,un,2,bun2,君上上聲門,君二門,
207,伆,門,君,上上,bun2,舒聲,b,un,2,bun2,君上上聲門,君二門,
208,𦮶,門,君,上上,bun2,舒聲,b,un,2,bun2,君上上聲門,君二門,
209,脗,門,君,上上,bun2,舒聲,b,un,2,bun2,君上上聲門,君二門,
210,抆,門,君,上上,bun2,舒聲,b,un,2,bun2,君上上聲門,君二門,
211,㥃,門,君,上上,bun2,舒聲,b,un,2,bun2,君上上聲門,君二門,
212,捫,門,君,上上,bun2,舒聲,b,un,2,bun2,君上上聲門,君二門,
213,忖,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,
214,偆,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,
215,僢,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,0.01
216,舛,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,
217,荈,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,
218,瞬,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,
219,喘,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,
220,賰,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,
221,蠢,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,
222,𧎌,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,
223,㖺,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,
224,𥬫,出,君,上上,tshun2,舒聲,c,un,2,cun2,君上上聲出,君二出,
225,粉,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
226,佷,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
227,很,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
228,坋,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
229,坌,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,0.01
230,忿,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
231,倱,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
232,黺,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
233,𪑕,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
234,僨,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
235,吩,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
236,惲,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
237,憤,喜,君,上上,hun2,舒聲,h,un,2,hun2,君上上聲喜,君二喜,
238,㤻,柳,君,上去,lun3,舒聲,l,un,3,lun3,君上去聲柳,君三柳,
239,溣,柳,君,上去,lun3,舒聲,l,un,3,lun3,君上去聲柳,君三柳,
240,棍,求,君,上去,kun3,舒聲,k,un,3,kun3,君上去聲求,君三求,
241,𧬪,求,君,上去,kun3,舒聲,k,un,3,kun3,君上去聲求,君三求,
242,䵪,求,君,上去,kun3,舒聲,k,un,3,kun3,君上去聲求,君三求,
243,困,去,君,上去,khun3,舒聲,kh,un,3,khun3,君上去聲去,君三去,
244,𡻨,去,君,上去,khun3,舒聲,kh,un,3,khun3,君上去聲去,君三去,
245,㫻,去,君,上去,khun3,舒聲,kh,un,3,khun3,君上去聲去,君三去,
246,睏,去,君,上去,khun3,舒聲,kh,un,3,khun3,君上去聲去,君三去,
247,頓,地,君,上去,tun3,舒聲,t,un,3,tun3,君上去聲地,君三地,
248,扽,地,君,上去,tun3,舒聲,t,un,3,tun3,君上去聲地,君三地,
249,䔚,地,君,上去,tun3,舒聲,t,un,3,tun3,君上去聲地,君三地,
250,吩,頗,君,上去,phun3,舒聲,ph,un,3,phun3,君上去聲頗,君三頗,
251,𠴮,頗,君,上去,phun3,舒聲,ph,un,3,phun3,君上去聲頗,君三頗,0.01
252,喯,頗,君,上去,phun3,舒聲,ph,un,3,phun3,君上去聲頗,君三頗,
253,逩,頗,君,上去,phun3,舒聲,ph,un,3,phun3,君上去聲頗,君三頗,
254,泍,頗,君,上去,phun3,舒聲,ph,un,3,phun3,君上去聲頗,君三頗,
255,噴,頗,君,上去,phun3,舒聲,ph,un,3,phun3,君上去聲頗,君三頗,
