識別號,韻系列號,韻系行號,韻目索引,目次識別號,目次,攝,韻系,韻目,調,呼,等,韻母,切語下字,等呼,韻母拼音碼,備註
162,30,2,30-2,91,3.24緩,山,桓,緩,上,合,1,緩合1,管伴滿緩纂,合洪,uan,
163,30,3,30-3,152,4.29換,山,桓,換,去,合,1,換合1,換喚玩段貫筭亂半幔,合洪,uan,
164,30,4,30-4,213,5.13末,山,桓,末,入,合,1,末合1,括活栝撥末,合洪,uat,
165,31,1,31-1,31,1.27刪,山,刪,刪,平,開,2,刪開2,姦顏顔閒,開洪,an,
166,31,2,31-2,92,3.25潸,山,刪,潸,上,開,2,潸開2,赧,開洪,an,
167,31,3,31-3,153,4.30諫,山,刪,諫,去,開,2,諫開2,晏諫鴈澗,開洪,an,
168,31,4,31-4,214,5.14黠,山,刪,黠,入,開,2,黠開2,黠八拔,開洪,at,
169,31,1,31-1,31,1.27刪,山,刪,刪,平,合,2,刪合2,還關班,合洪,uan,
170,31,2,31-2,92,3.25潸,山,刪,潸,上,合,2,潸合2,綰板版鯇,合洪,uan,
171,31,3,31-3,153,4.30諫,山,刪,諫,去,合,2,諫合2,患慣,合洪,uan,
172,31,4,31-4,214,5.14黠,山,刪,黠,入,合,2,黠合2,滑婠,合洪,uat,
173,32,1,32-1,32,1.28山,山,山,山,平,開,2,山開2,間閑山,開洪,an,
174,32,2,32-2,93,3.26產,山,山,產,上,開,2,產開2,簡限,開洪,an,
175,32,3,32-3,154,4.31襇,山,山,襇,去,開,2,襇開2,襉襇莧,開洪,an,
176,32,4,32-4,215,5.15鎋,山,山,鎋,入,開,2,鎋開2,瞎轄鎋,開洪,at,
177,32,1,32-1,32,1.28山,山,山,山,平,合,2,山合2,頑鰥頁,合洪,uan,
178,32,2,32-2,93,3.26產,山,山,產,上,合,2,產合2,綰,合洪,uan,
179,32,3,32-3,154,4.31襇,山,山,襇,去,合,2,襇合2,幻,合洪,uan,
180,32,4,32-4,215,5.15鎋,山,山,鎋,入,合,2,鎋合2,刮䫄,合洪,uat,
181,33,1,33-1,33,2.01先,山,先,先,平,開,4,先開4,前先賢年堅煙田顛顚,開細,ian,
182,33,2,33-2,94,3.27銑,山,先,銑,上,開,4,銑開4,典殄繭峴,開細,ian,
183,33,3,33-3,155,4.32霰,山,先,霰,去,開,4,霰開4,佃甸電練麪,開細,ian,
184,33,4,33-4,216,5.16屑,山,先,屑,入,開,4,屑開4,結屑蔑,開細,iat,
185,33,1,33-1,33,2.01先,山,先,先,平,合,2,先合2,玄涓,合細,ian,
186,33,2,33-2,94,3.27銑,山,先,銑,上,合,2,銑合2,泫畎,合細,ian,
187,33,3,33-3,155,4.32霰,山,先,霰,去,合,2,霰合2,縣絢麵,合細,ian,
188,33,4,33-4,216,5.16屑,山,先,屑,入,合,2,屑合2,穴決,合細,iat,
189,34,1,34-1,34,2.02仙,山,仙,仙,平,開,3,仙開3,然仙延連乾焉,開細,ian,
190,34,2,34-2,95,3.28獮,山,仙,獮,上,開,3,獮開3,淺演善輦蹇展翦辨免,開細,ian,
191,34,3,34-3,156,4.33線,山,仙,線,去,開,3,線開3,箭賤膳扇戰見碾線面彦,開細,ian,
192,34,4,34-4,217,5.17薛,山,仙,薛,入,開,3,薛開3,列熱滅竭薛辥别,開細,iat,
193,34,1,34-1,34,2.02仙,山,仙,仙,平,合,3,仙合3,員緣泉權圓專孿攣宣川全貟,合細,uan,
194,34,2,34-2,95,3.28獮,山,仙,獮,上,合,3,獮合3,轉篆兗兖緬,合細,uan,
195,34,3,34-3,156,4.33線,山,仙,線,去,合,3,線合3,絹囀倦掾戀眷釧卷變,合細,uan,
196,34,4,34-4,217,5.17薛,山,仙,薛,入,合,3,薛合3,絕悅劣爇雪輟,合細,uat,
197,35,1,35-1,35,2.03蕭,效,蕭,蕭,平,開,4,蕭開4,彫聊堯么幺蕭,開細,iau,
198,35,2,35-2,96,3.29篠,效,蕭,篠,上,開,4,篠開4,鳥了皎皛,開細,iau,
199,35,3,35-3,157,4.34嘯,效,蕭,嘯,去,開,4,嘯開4,弔叫嘯,開細,iau,
200,35,4,35-4,218,,效,蕭,,,,,,,,,
201,36,1,36-1,36,2.04宵,效,宵,宵,平,開,3,宵開3,邀宵遙嬌消招霄囂焦昭瀌喬嚻,開細,iau,
202,36,2,36-2,97,3.30小,效,宵,小,上,開,3,小開3,兆小夭沼矯少表,開細,iau,
203,36,3,36-3,158,4.35笑,效,宵,笑,去,開,3,笑開3,召肖照笑𥬇要廟妙,開細,iau,
204,36,4,36-4,219,,效,宵,,,,,,,,,
205,37,1,37-1,37,2.05肴,效,肴,肴,平,開,2,肴開2,交嘲肴茅,開洪,au,
206,37,2,37-2,98,3.31巧,效,肴,巧,上,開,2,巧開2,絞巧飽爪,開洪,au,
207,37,3,37-3,159,4.36效,效,肴,效,去,開,2,效開2,教敎稍孝皃,開洪,au,
208,37,4,37-4,220,,效,肴,,,,,,,,,
209,38,1,38-1,38,2.06豪,效,豪,豪,平,開,1,豪開1,刀勞牢遭曹袍褒毛襃,開洪,o,
210,38,2,38-2,99,3.32晧,效,豪,晧,上,開,1,晧開1,老晧道浩早抱,開洪,o,
211,38,3,38-3,160,4.37号,效,豪,号,去,開,1,号開1,到導耗報,開洪,o,
212,38,4,38-4,221,,效,豪,,,,,,,,,
213,39,1,39-1,39,2.07歌,果,歌,歌,平,開,1,歌開1,俄何河歌,開洪,o,
214,39,2,39-2,100,3.33哿,果,歌,哿,上,開,1,哿開1,我可,開洪,o,
215,39,3,39-3,161,4.38箇,果,歌,箇,去,開,1,箇開1,賀佐箇邏个,開洪,o,
216,39,4,39-4,222,,果,歌,,,,,,,,,
217,40,1,40-1,40,2.08戈,果,戈,戈,平,合,1,戈合1,禾戈和靴波婆𦚢𩩆𩨷,合洪,o,
218,40,2,40-2,101,3.34果,果,戈,果,上,合,1,果合1,火果,合洪,o,
219,40,3,40-3,162,4.39過,果,戈,過,去,合,1,過合1,臥卧唾過貨,合洪,o,
220,40,4,40-4,223,,果,戈,,,,,,,,,
221,40,1,40-1,40,2.08戈,果,戈,戈,平,開,3,戈開3,迦伽,開細,ia,
222,40,2,40-2,101,3.34果,果,戈,果,上,開,3,果開3,,開細,ia,
223,40,3,40-3,162,4.39過,果,戈,過,去,開,3,過開3,,開細,ia,
224,40,4,40-4,223,,果,戈,,,,,,,,,
225,40,1,40-1,40,2.08戈,果,戈,戈,平,合,3,戈合3,脞,合細,ia,
226,40,2,40-2,101,3.34果,果,戈,果,上,合,3,果合3,,合細,ia,
227,40,3,40-3,162,4.39過,果,戈,過,去,合,3,過合3,,合細,ia,
228,40,4,40-4,223,,果,戈,,,,,,,,,
229,41,1,41-1,41,2.09麻,假,麻,麻,平,開,2,麻開2,霞加牙巴,開洪,a,
230,41,2,41-2,102,3.35馬,假,麻,馬,上,開,2,馬開2,下雅疋賈,開洪,a,
231,41,3,41-3,163,4.40禡,假,麻,禡,去,開,2,禡開2,駕亞訝嫁罵,開洪,a,
232,41,4,41-4,224,,假,麻,,,,,,,,,
