識別號,切語,拼音,小韻字,目次編碼,小韻字序號,小韻字集,字數,上字表識別號,聲母,聲母拼音碼,發音部位,清濁,發送收,下字表識別號,韻母,韻母拼音碼,調,調號,備註,原有備註,異體字,其它備註
439,如勻,jun5,犉,1.18諄,6,犉𩀋瞤眴,5,41,日,j,半齒,次濁,收聲,125,諄合3,un,平,5,,,,
440,食倫,sun5,脣,1.18諄,7,脣漘䔚㸪紃,5,32,神,s,正齒近舌上,全濁,發聲,125,諄合3,un,平,5,,,漘滣,
441,力迍,lun5,淪,1.18諄,8,淪倫論䑳輪陯鯩蜦棆綸惀侖踚掄䈁,15,40,來,l,半舌,次濁,收聲,125,諄合3,un,平,5,,,[圇],
442,陟綸,tun1,屯,1.18諄,9,屯窀迍㡒,4,9,知,t,舌上音,全清,發聲,125,諄合3,un,平,1,,,,
443,七倫,chun1,逡,1.18諄,10,逡竣皴㕙墫捘竴踆𠣟夋,11,22,清,ch,齒頭音,次清,送氣,125,諄合3,un,平,1,,,,
444,將倫,cun1,遵,1.18諄,11,遵跧僎嶟鷷,5,21,精,c,齒頭音,全清,發聲,125,諄合3,un,平,1,,,,
445,昌脣,chun1,春,1.18諄,12,春,1,31,穿,ch,正齒近舌上,次清,送氣,125,諄合3,un,平,1,,,,
446,昨旬,cun5,鷷,1.18諄,13,鷷,1,23,從,c,齒頭音,全濁,,125,諄合3,un,平,5,,,,
447,羊倫,Øun5,勻,1.18諄,14,勻畇,2,39,喻,Ø,喉音,次濁,發聲,125,諄合3,un,平,5,,,(匀)昀,
448,詳遵,sun5,旬,1.18諄,15,旬𠣙巡馴循揗㸪紃䋸𪀠洵楯灥㽦𧾩畇䖲,20,25,邪,s,齒頭音,全濁,送氣,125,諄合3,un,平,5,,,,
449,居勻,kun1,均,1.18諄,16,均鈞袀汮,4,1,見,k,牙音,全清,發聲,125,諄合3,un,平,1,,,,
450,渠人,khin5,𧼒,1.18諄,17,𧼒,2,3,群,kh,牙音,全濁,,121,眞開3,in,平,5,"新補,待考**",,,
451,普巾,phin1,砏,1.18諄,18,砏虨,2,14,滂,ph,重脣音,次清,送氣,121,眞開3,in,平,1,,,,
452,側詵,cen1,臻,1.19臻,1,臻蓁搸溱潧𣓀榛樼瀙𨬖轃,13,26,莊,c,正齒近齒頭,全清,發聲,129,臻開2,en,平,1,,,,
453,所臻,sen1,莘,1.19臻,2,莘㜪扟駪籸䯂甡兟詵侁𩺵屾𨐔燊𦐹𢓠㯜阠姺㾕,24,29,疏,s,正齒近齒頭,全清,發聲,129,臻開2,en,平,1,,,,
454,士臻,cen5,𦿒,1.19臻,3,𦿒㲀帘,4,28,床,c,正齒近齒頭,全濁,,129,臻開2,en,平,5,,,,
455,無分,bun5,文,1.20文,1,文聞𦖫彣紋雯馼蟁蚊螡䰚鳼闅汶鼤閩,17,20,微,b,輕脣音,次濁,收聲,133,文合3,un,平,5,,,(閿),
456,王分,Øun5,雲,1.20文,2,雲芸蕓𦔐𦓷耘鄖妘紜溳澐云篔䢵員𪔅愪沄𧶊耺橒䉙,26,38,為,Ø,喉音,次濁,發聲,133,文合3,un,平,5,,,,
457,於云,Øun1,煴,1.20文,3,煴氳緼馧蒀𥠺䡝蘊蝹㚃,11,35,影,Ø,喉音,全清,發聲,133,文合3,un,平,1,,,,
458,符分,hun5,汾,1.20文,4,汾墳氛𣱦鼖䩿𪔵濆焚燌羒豶頒羵䴅枌鳻蕡𦶁橨棼賁葐魵𧮱妢棻梤朌䫶鐼馩馚㞣鼢蚡轒,41,19,奉,h,輕脣音,全濁,,133,文合3,un,平,5,,,,
459,府文,hun1,分,1.20文,5,分饙餴扮𡊄𣯻,8,17,非,h,輕脣音,全清,發聲,133,文合3,un,平,1,,,[吩],
460,渠云,khun5,羣,1.20文,6,羣帬裠宭𤸷,6,3,群,kh,牙音,全濁,,133,文合3,un,平,5,,,(群)(裙),
461,許云,hun1,薰,1.20文,7,薰曛勲勛熏燻獯纁醺葷焄臐,12,36,曉,h,喉音,次清,送氣,133,文合3,un,平,1,,,(勳),
462,舉云,kun1,君,1.20文,8,君軍皸桾䇹莙宭鮶,8,1,見,k,牙音,全清,發聲,133,文合3,un,平,1,,,,
463,撫文,hun1,芬,1.20文,9,芬紛𢁥𣬩衯𦐈棻砏㞣氛雰𨷹錀,17,18,敷,h,輕脣音,次清,送氣,133,文合3,un,平,1,,,,
464,許斤,hin1,欣,1.21欣,1,欣忻昕訢炘邤,6,36,曉,h,喉音,次清,送氣,137,欣開3,in,平,1,,,,
465,於斤,Øin1,殷,1.21欣,2,殷慇㶏溵,4,35,影,Ø,喉音,全清,發聲,137,欣開3,in,平,1,,,,
466,巨斤,khin5,勤,1.21欣,3,勤芹懃慬懄瘽𥎊蘄,9,3,群,kh,牙音,全濁,,137,欣開3,in,平,5,,,,
467,舉欣,kin1,斤,1.21欣,4,斤筋䈥釿,4,1,見,k,牙音,全清,發聲,137,欣開3,in,平,1,,,,
468,語斤,gin5,䖐,1.21欣,5,䖐㹜圻垠齗齦䴦斦𪛊䓄狺鄞,13,4,疑,g,牙音,次濁,收聲,137,欣開3,in,平,5,11->12!,,,
469,愚袁,guan5,元,1.22元,1,元原𨙅源厵杬嫄沅騵黿羱蚖𧔞芫邧榞謜㹉䬧獂阮蒝,24,4,疑,g,牙音,次濁,收聲,145,元合3,uan,平,5,𨙅备下原从彔,,螈,
470,雨元,Øuan5,袁,1.22元,2,袁爰垣𩫧園援榬轅鶢媛洹溒𧻚蝯猨猿,18,38,為,Ø,喉音,次濁,發聲,145,元合3,uan,平,5,,,,
471,附袁,huan5,煩,1.22元,3,煩番𨆌蹯繁蘩薠樊𢶃繙燔膰瀿羳䪤鷭蟠蕃蠜礬𪖇𨟄鐇璠笲𥢌㺕襎袢棥緐𥿋墦𢐲䮳旛𧢜藩,46,19,奉,h,輕脣音,全濁,,145,元合3,uan,平,5,䪤原作⿰番韭,䪤原作H番韭,,
472,孚袁,huan1,飜,1.22元,4,飜翻旛番幡𤃳𤄜轓繙反,12,18,敷,h,輕脣音,次清,送氣,145,元合3,uan,平,1,,,,
473,況袁,huan1,暄,1.22元,5,暄煖喛萱䁔諼塤壎䳦吅貆喧諠愋讙翧䚭䚙蝖,19,36,曉,h,喉音,次清,送氣,145,元合3,uan,平,1,,,煊,
474,於袁,Øuan1,鴛,1.22元,6,鴛冤㠾鵷𣹠惌䥉宛蜿𩝸蒬怨𡟰葾䡝䩩裷眢,21,35,影,Ø,喉音,全清,發聲,145,元合3,uan,平,1,,,,
475,語軒,gian5,言,1.22元,7,言琂甗䇾䓂,5,4,疑,g,牙音,次濁,收聲,141,元開3,ian,平,5,,,,
476,丘言,khian1,攑,1.22元,8,攑䞿,2,2,溪,kh,牙音,次清,送氣,141,元開3,ian,平,1,,,,
477,虚言,hian1,軒,1.22元,9,軒掀鶱䡣蓒䞿,6,36,曉,h,喉音,次清,送氣,141,元開3,ian,平,1,,,,
478,居言,kian1,𢳚,1.22元,10,𢳚𣘖靬鞬𩎀㓺犍腱騝䭈𩱡𩱤,17,1,見,k,牙音,全清,發聲,141,元開3,ian,平,1,,,,
479,謁言,Øian1,蔫,1.22元,11,蔫焉,2,35,影,Ø,喉音,全清,發聲,141,元開3,ian,平,1,,,,
480,甫煩,huan1,蕃,1.22元,12,蕃藩轓鱕籓鐇,6,17,非,h,輕脣音,全清,發聲,145,元合3,uan,平,1,,,,
481,巨言,khian5,𥴤,1.22元,13,𥴤赶,3,3,群,kh,牙音,全濁,,141,元開3,ian,平,5,,,,
482,武元,buan5,樠,1.22元,14,樠,1,20,微,b,輕脣音,次濁,收聲,145,元合3,uan,平,5,,,,
483,戸昆,hun5,䰟,1.23魂,1,䰟㮯䮝𤟤餛餫䴷鼲楎渾沄忶𦸌俒㑮䡣堚𢣒𣝂㨡煇顐𧡡琿,29,37,匣,h,喉音,全濁,送氣,149,魂合3,un,平,5,,,魂,
484,古渾,kun1,昆,1.23魂,2,昆晜𥊽菎㡓褌崐琨鵾鶤鯤䖵蜫惃㱎錕瑻𪋆猑騉,22,1,見,k,牙音,全清,發聲,149,魂合3,un,平,1,㱎原作⿱眔𩵢,,㡓(𢃭),
485,烏渾,Øun1,𥁕,1.23魂,3,𥁕溫輼蕰𩥈殟鴛𨜵豱緼韞㼔𪉸,17,35,影,Ø,喉音,全清,發聲,149,魂合3,un,平,1,,,昷(温)/瘟,
486,莫奔,mun5,門,1.23魂,4,門捫樠虋璊亹𤅣怋䫒𣯩䟂䊟𪈿,16,16,明,m,重脣音,次濁,收聲,149,魂合3,un,平,5,,,,
487,思渾,sun1,孫,1.23魂,5,孫蓀飧蕵猻搎,6,24,心,s,齒頭音,全清,送氣,149,魂合3,un,平,1,,,,
488,祖昆,cun1,尊,1.23魂,6,尊罇樽嶟繜,5,21,精,c,齒頭音,全清,發聲,149,魂合3,un,平,1,,,,
489,徂尊,cun5,存,1.23魂,7,存蹲拵𨚲袸,6,23,從,c,齒頭音,全濁,,149,魂合3,un,平,5,,,,
490,都昆,tun1,敦,1.23魂,8,敦惇弴㢯驐墩𤭞,8,5,端,t,舌頭音,全清,發聲,149,魂合3,un,平,1,,,[噸][礅],
491,他昆,thun1,暾,1.23魂,9,暾燉涒𪏆噋𧑒黗,9,6,透,th,舌頭音,次清,送氣,149,魂合3,un,平,1,,,,
492,徒渾,tun5,屯,1.23魂,10,屯豚㹠豘窀臀𡱂𦞠𩪡軘飩𥴫坉沌邨燉忳啍芚庉𪎶𤫭,28,7,定,t,舌頭音,全濁,,149,魂合3,un,平,5,,,,
493,此尊,chun1,村,1.23魂,11,村,1,22,清,ch,齒頭音,次清,送氣,149,魂合3,un,平,1,,,,
494,牛昆,gun5,㑮,1.23魂,12,㑮瘒顐梱,4,4,疑,g,牙音,次濁,收聲,149,魂合3,un,平,5,,,,
495,蒲奔,pun5,盆,1.23魂,13,盆葐𪂽湓,5,15,並,p,重脣音,全濁,,149,魂合3,un,平,5,,,,
496,博昆,pun1,奔,1.23魂,14,奔賁䴅犇,4,13,幫,p,重脣音,全清,發聲,149,魂合3,un,平,1,,,錛,
497,盧昆,lun5,論,1.23魂,15,論崘掄菕,4,40,來,l,半舌,次濁,收聲,149,魂合3,un,平,5,,,,
498,苦昆,khun1,坤,1.23魂,16,坤巛髡𩒱臗髖豤,8,2,溪,kh,牙音,次清,送氣,149,魂合3,un,平,1,,,,
499,呼昆,hun1,昏,1.23魂,17,昏惛婚棔閽殙𣣏,8,36,曉,h,喉音,次清,送氣,149,魂合3,un,平,1,,,,
500,普魂,phun1,濆,1.23魂,18,濆噴歕,3,14,滂,ph,重脣音,次清,送氣,149,魂合3,un,平,1,,,,
501,奴昆,nun5,黁,1.23魂,19,黁,1,8,泥,n,舌頭音,次濁,收聲,149,魂合3,un,平,5,,,,
502,戸恩,hirn5,痕,1.24痕,1,痕鞎拫㯊,4,37,匣,h,喉音,全濁,送氣,153,痕開1,irn,平,5,,,,
503,古痕,kirn1,根,1.24痕,2,根跟𣥦珢,5,1,見,k,牙音,全清,發聲,153,痕開1,irn,平,1,,,,
504,烏痕,Øirn1,恩,1.24痕,3,恩𤇯煾,4,35,影,Ø,喉音,全清,發聲,153,痕開1,irn,平,1,,,,
505,吐根,thirn1,吞,1.24痕,4,吞,1,6,透,th,舌頭音,次清,送氣,153,痕開1,irn,平,1,,,,
506,五根,girn5,垠,1.24痕,5,垠圻泿,3,4,疑,g,牙音,次濁,收聲,153,痕開1,irn,平,5,,,,
507,胡安,han5,寒,1.25寒,1,寒𩏑韓𦺦翰鶾邯邗虷汗𧃙䮧,15,37,匣,h,喉音,全濁,送氣,157,寒開1,an,平,5,,,,
508,俄寒,gan5,豻,1.25寒,2,豻犴雃𡽜,5,4,疑,g,牙音,次濁,收聲,157,寒開1,an,平,5,,,,
509,都寒,tan1,單,1.25寒,3,單襌鄲丹殫簞匰㠆癉䐷,10,5,端,t,舌頭音,全清,發聲,157,寒開1,an,平,1,,,,
510,烏寒,Øan1,安,1.25寒,4,安䀂鞌䢿侒,5,35,影,Ø,喉音,全清,發聲,157,寒開1,an,平,1,,,鞌(鞍),
511,那干,nan5,難,1.25寒,5,難𪇠𩁘𩁣,7,8,泥,n,舌頭音,次濁,收聲,157,寒開1,an,平,5,,,𧆖,
512,七安,chan1,餐,1.25寒,6,餐湌䉔,3,22,清,ch,齒頭音,次清,送氣,157,寒開1,an,平,1,,,(飡),
513,他干,than1,灘,1.25寒,7,灘嘽嘆擹譠痑攤𦧴嬗㨏,11,6,透,th,舌頭音,次清,送氣,157,寒開1,an,平,1,,,[癱],
514,蘇干,san1,𦙽,1.25寒,8,𦙽跚珊姍䈀,6,24,心,s,齒頭音,全清,送氣,157,寒開1,an,平,1,,,𦙱,
515,徒干,tan5,壇,1.25寒,9,壇檀鷤癉撣彈驒驙但胆繟儃聅唌貚,15,7,定,t,舌頭音,全濁,,157,寒開1,an,平,5,,,,
516,昨干,can5,殘,1.25寒,10,殘䏼㱚戔𥂥𣦻帴,9,23,從,c,齒頭音,全濁,,157,寒開1,an,平,5,,,(𣦼),
517,古寒,kan1,干,1.25寒,11,干乾漧竿肝奸鳱玕邗汗迀㿻𢧀忓𨝌𡯋,19,1,見,k,牙音,全清,發聲,157,寒開1,an,平,1,,,,
518,落干,lan5,蘭,1.25寒,12,蘭瀾闌讕攔𨷻籣䪍欄躝幱㘓,13,40,來,l,半舌,次濁,收聲,157,寒開1,an,平,5,,,斓,
519,苦寒,khan1,看,1.25寒,13,看栞𣓁靬臤刊,7,2,溪,kh,牙音,次清,送氣,157,寒開1,an,平,1,缺⿸倝目,,,
520,許干,han1,頇,1.25寒,14,頇鼾,2,36,曉,h,喉音,次清,送氣,157,寒開1,an,平,1,,,,
521,乃官,nuan5,濡,1.26桓,1,濡,1,8,泥,n,舌頭音,次濁,收聲,161,桓合1,uan,平,5,,,,
522,胡官,huan5,桓,1.26桓,2,桓完䴟𩾞丸瓛紈𦼉萑洹汍絙芄豲梡荁莞綄𦏊萈貆狟峘㿪䎠垸寏院捖,32,37,匣,h,喉音,全濁,送氣,161,桓合1,uan,平,5,27->29䴟下从丸sum30?,,(雚),
523,五丸,guan5,岏,1.26桓,3,岏刓园忨蚖䯈羱黿抏𠒢,11,4,疑,g,牙音,次濁,收聲,161,桓合1,uan,平,5,,,,
524,多官,tuan1,端,1.26桓,4,端褍剬𧤗耑鍴𥵣竱𦾸𥠄偳,15,5,端,t,舌頭音,全清,發聲,161,桓合1,uan,平,1,,,,
525,一丸,Øuan1,剜,1.26桓,5,剜眢豌蜿帵婠,6,35,影,Ø,喉音,全清,發聲,161,桓合1,uan,平,1,,,,
526,他端,thuan1,湍,1.26桓,6,湍貒䵎𪏆煓偳,7,6,透,th,舌頭音,次清,送氣,161,桓合1,uan,平,1,,,,
527,素官,suan1,酸,1.26桓,7,酸狻䝜痠𩆑,6,24,心,s,齒頭音,全清,送氣,161,桓合1,uan,平,1,,,,
528,度官,tuan5,團,1.26桓,8,團慱篿剸鄟𧐕敦漙鷒𪆃摶𩅂,15,7,定,t,舌頭音,全濁,,161,桓合1,uan,平,5,,,,
529,在丸,cuan5,櫕,1.26桓,9,櫕巑𩎈菆襸酇穳𥣚劗,11,23,從,c,齒頭音,全濁,,161,桓合1,uan,平,5,刪纂,,躦,
530,古丸,kuan1,官,1.26桓,10,官悹莞棺觀貫冠涫倌毌,10,1,見,k,牙音,全清,發聲,161,桓合1,uan,平,1,,,,
531,落官,luan5,鑾,1.26桓,11,鑾鸞巒欒羉𧄶䜌㱍臠灤灓𤼙圞曫,16,40,來,l,半舌,次濁,收聲,161,桓合1,uan,平,5,,,,
532,呼官,huan1,歡,1.26桓,12,歡懽驩貆貛𪈩鴅酄獾犿𡚊讙𠂄,16,36,曉,h,喉音,次清,送氣,161,桓合1,uan,平,1,,,,
533,苦官,khuan1,寬,1.26桓,13,寬髖,2,2,溪,kh,牙音,次清,送氣,161,桓合1,uan,平,1,,,,
534,借官,cuan1,鑚,1.26桓,14,鑚𩎑𩎈䡽𣀶劗,9,21,精,c,齒頭音,全清,發聲,161,桓合1,uan,平,1,,,,
535,薄官,puan5,槃,1.26桓,15,槃盤鎜柈瘢磻幋磐䰉般蹣搫鞶繁𪄀𥈼媻縏蟠𪒀䈲𤠍,26,15,並,p,重脣音,全濁,,161,桓合1,uan,平,5,,,,
536,母官,muan5,瞞,1.26桓,16,瞞顢謾蹣䊡饅慲鏝槾墁㒼鞔樠鰻曼蔓䜱𤡁䟂𦔔芇悗鬗絻,26,16,明,m,重脣音,次濁,收聲,161,桓合1,uan,平,5,,,,
537,普官,phuan1,潘,1.26桓,17,潘㽃番拌㢖𤺏,7,14,滂,ph,重脣音,次清,送氣,161,桓合1,uan,平,1,,,,
538,北潘,puan1,𤳖,1.26桓,18,𤳖般䈲𠦒,6,13,幫,p,重脣音,全清,發聲,161,桓合1,uan,平,1,,,(搬),
539,所姦,san1,刪,1.27刪,1,刪訕潸𣧱狦,6,29,疏,s,正齒近齒頭,全清,發聲,165,刪開2,an,平,1,,,,
540,古還,kuan1,關,1.27刪,2,關関癏擐𠴨𢇇,8,1,見,k,牙音,全清,發聲,169,刪合2,uan,平,1,,,,
541,烏關,Øuan1,彎,1.27刪,3,彎灣䘎𩅦潫,6,35,影,Ø,喉音,全清,發聲,169,刪合2,uan,平,1,,,,
542,數還,suan1,𣠯,1.27刪,4,𣠯,2,29,疏,s,正齒近齒頭,全清,發聲,169,刪合2,uan,平,1,,,(閂),
543,戸關,huan5,還,1.27刪,5,還環𠟼鬟寰闤糫鍰圜鐶轘𡍦䍺𦏖郇澴𩙽䭴㡲𦣴,25,37,匣,h,喉音,全濁,送氣,169,刪合2,uan,平,5,,,,
544,布還,puan1,班,1.27刪,6,班頒鳻朌螌斑辬䰉般斒鯿扳𠔯,14,13,幫,p,重脣音,全清,發聲,169,刪合2,uan,平,1,,,[癍],
545,莫還,muan5,蠻,1.27刪,7,蠻𪈮獌鬘謾䅼𪑪,9,16,明,m,重脣音,次濁,收聲,169,刪合2,uan,平,5,,,,
546,五姦,gan5,顏,1.27刪,8,顏楌,2,4,疑,g,牙音,次濁,收聲,165,刪開2,an,平,5,,,(顔),
547,古顔,kan1,姦,1.27刪,9,姦菅葌䔵,4,1,見,k,牙音,全清,發聲,165,刪開2,an,平,1,,,奸,
548,普班,phuan1,攀,1.27刪,10,攀扳眅,3,14,滂,ph,重脣音,次清,送氣,169,刪合2,uan,平,1,,,,
549,奴還,nuan5,奻,1.27刪,11,奻,1,8,泥,n,舌頭音,次濁,收聲,169,刪合2,uan,平,5,,,,
550,五還,guan5,𤸷,1.27刪,12,𤸷頑,3,4,疑,g,牙音,次濁,收聲,169,刪合2,uan,平,5,,,,
551,丘姦,khan1,馯,1.27刪,13,馯,1,2,溪,kh,牙音,次清,送氣,165,刪開2,an,平,1,,,,
552,可顔,khan1,豻,1.27刪,14,豻鬜,2,2,溪,kh,牙音,次清,送氣,165,刪開2,an,平,1,,,,
553,阻頑,cuan1,跧,1.27刪,15,跧,1,26,莊,c,正齒近齒頭,全清,發聲,177,山合2,uan,平,1,,,,
554,所閒,san1,山,1.28山,1,山疝邖,3,29,疏,s,正齒近齒頭,全清,發聲,165,刪開2,an,平,1,,,,
555,古頑,kuan1,鰥,1.28山,2,鰥䤽綸,3,1,見,k,牙音,全清,發聲,177,山合2,uan,平,1,,,,
556,古閑,kan1,閒,1.28山,3,閒艱囏靬蕑覸,6,1,見,k,牙音,全清,發聲,173,山開2,an,平,1,,,間,
557,戸閒,han5,閑,1.28山,4,閑嫺癇𩦂蛝瞯鷴藖憪,10,37,匣,h,喉音,全濁,送氣,165,刪開2,an,平,5,,,(閒)(嫻)(𥊺)(鷳),
558,苦閑,khan1,慳,1.28山,5,慳𧢞顅掔鬝羥臤𩋆,10,2,溪,kh,牙音,次清,送氣,173,山開2,an,平,1,,,,
559,士山,can5,虥,1.28山,6,虥潺孱僝䡲𨬖𡎻,9,28,床,c,正齒近齒頭,全濁,,173,山開2,an,平,5,,,,
560,許閒,han1,羴,1.28山,7,羴,1,36,曉,h,喉音,次清,送氣,165,刪開2,an,平,1,,,,
561,五閑,gan5,詽,1.28山,8,詽𤡥㗴虤,5,4,疑,g,牙音,次濁,收聲,173,山開2,an,平,5,,,,
562,烏閑,Øan1,黰,1.28山,9,黰𦎣殷㸶黫,6,35,影,Ø,喉音,全清,發聲,173,山開2,an,平,1,,,,
563,方閑,han1,斒,1.28山,10,斒虨,2,17,非,h,輕脣音,全清,發聲,173,山開2,an,平,1,,,,
564,力閑,lan5,斕,1.28山,11,斕𢿻𢛓潾,6,40,來,l,半舌,次濁,收聲,173,山開2,an,平,5,,,,
565,女閑,nan5,嘫,1.28山,12,嘫㬮,2,12,娘,n,舌上音,次濁,收聲,173,山開2,an,平,5,,,,
566,充山,chan1,㺗,1.28山,13,㺗,1,31,穿,ch,正齒近舌上,次清,送氣,173,山開2,an,平,1,,,,
567,委鰥,Øuan1,嬽,1.28山,14,嬽,1,35,影,Ø,喉音,全清,發聲,177,山合2,uan,平,1,,,,
568,墜頑,tuan5,窀,1.28山,15,窀,1,11,澄,t,舌上音,全濁,,177,山合2,uan,平,5,,,,
569,力頑,luan5,𡰠,1.28山,16,𡰠,2,40,來,l,半舌,次濁,收聲,177,山合2,uan,平,5,,,,
570,跪頑,khuan5,𡰝,1.28山,17,𡰝,2,3,群,kh,牙音,全濁,,177,山合2,uan,平,5,,,,
571,陟山,tan1,譠,1.28山,18,譠㣶,2,9,知,t,舌上音,全清,發聲,173,山開2,an,平,1,,,,
572,直閑,tan5,𤣆,1.28山,19,𤣆,2,11,澄,t,舌上音,全濁,,173,山開2,an,平,5,,,,
573,獲頑,huan5,湲,1.28山,20,湲,1,37,匣,h,喉音,全濁,送氣,177,山合2,uan,平,5,,,,
574,昨閑,can5,虥,1.28山,21,虥𡎻,3,23,從,c,齒頭音,全濁,,173,山開2,an,平,5,,,,
575,蘇前,sian1,先,2.01先,1,先躚蹮𥑻,5,24,心,s,齒頭音,全清,送氣,181,先開4,ian,平,1,,,,
576,昨先,cian5,前,2.01先,2,前歬騚湔𥮒,6,23,從,c,齒頭音,全濁,,181,先開4,ian,平,5,"缺⿱𥫗瀸,以集韻所舉異體字「𥮓」代之",,(𥮓),
577,蒼先,chian1,千,2.01先,3,千圱阡汘仟芊谸迁杄,9,22,清,ch,齒頭音,次清,送氣,181,先開4,ian,平,1,,,,
578,則前,cian1,箋,2.01先,4,箋牋㮍瀳帴韉淺湔𢃬𣚙轃濺籛𣝕𨕨,19,21,精,c,齒頭音,全清,發聲,181,先開4,ian,平,1,,,,
579,他前,thian1,天,2.01先,5,天𠀘䒶𦧝吞詽,8,6,透,th,舌頭音,次清,送氣,181,先開4,ian,平,1,,,,
580,古賢,kian1,堅,2.01先,6,堅鑒𢮂㡉幵肩鳽豜𧱚猏菺𪊑麉鵳鰹䶬䌑,20,1,見,k,牙音,全清,發聲,181,先開4,ian,平,1,,,(豣),
581,胡田,hian5,賢,2.01先,7,賢臤弦絃舷胘蚿𢛆𠛑伭𢮂𦱁婱𧼏礥痃㘋,22,37,匣,h,喉音,全濁,送氣,181,先開4,ian,平,5,,,,
582,烏前,Øian1,煙,2.01先,8,煙烟𡨾𤎟燕咽橪驠湮胭𥷀閼,15,35,影,Ø,喉音,全清,發聲,181,先開4,ian,平,1,,,煙(菸),
583,落賢,lian5,蓮,2.01先,9,蓮憐怜嗹縺𪍴𨏩零,10,40,來,l,半舌,次濁,收聲,181,先開4,ian,平,5,,,,
584,徒年,tian5,田,2.01先,10,田佃畋畇塡窴闐䟧𦧴鈿䡘沺磌鷏嗔𨌈滇貚搷,21,7,定,t,舌頭音,全濁,,181,先開4,ian,平,5,刪寘,,(填),
585,奴顚,nian5,秊,2.01先,11,秊年𨛲,4,8,泥,n,舌頭音,次濁,收聲,181,先開4,ian,平,5,,,,
586,都年,tian1,顚,2.01先,12,顚㒹齻𩥄槙瘨癲滇𧽍巔驒𠑘傎蹎厧,18,5,端,t,舌頭音,全清,發聲,181,先開4,ian,平,1,,,(顛),
587,苦堅,khian1,牽,2.01先,13,牽縴郉汧蚈𪊑掔岍雃,10,2,溪,kh,牙音,次清,送氣,181,先開4,ian,平,1,,,,
588,五堅,gian5,姸,2.01先,14,姸鳽硏𥓋揅㿼趼俓,9,4,疑,g,牙音,次濁,收聲,181,先開4,ian,平,5,,,(妍)(研),
589,莫賢,mian5,眠,2.01先,15,眠瞑䏃矏𥌂䰓㝰,8,16,明,m,重脣音,次濁,收聲,181,先開4,ian,平,5,,,,
590,部田,pian5,蹁,2.01先,16,蹁蠙骿軿駢㼐胼跰楄賆玭琕,12,15,並,p,重脣音,全濁,,181,先開4,ian,平,5,,,,
591,烏玄,Øian1,淵,2.01先,17,淵𠝃囦㾓弲剈鼘𨓯䨊蜎,12,35,影,Ø,喉音,全清,發聲,185,先合2,ian,平,1,,,,
592,古玄,kian1,涓,2.01先,18,涓睊蠲𦮻䅌鵑焆鞙,9,1,見,k,牙音,全清,發聲,185,先合2,ian,平,1,,,,
593,火玄,hian1,鋗,2.01先,19,鋗駽㘣梋矎,5,36,曉,h,喉音,次清,送氣,185,先合2,ian,平,1,,,,
594,布玄,pian1,邊,2.01先,20,邊籩𤄺甂蝙猵𥣰編萹𨇱𠑟牑䟍蹁,18,13,幫,p,重脣音,全清,發聲,185,先合2,ian,平,1,,,,
595,胡涓,hian5,玄,2.01先,21,玄縣懸眩䮄玹玆䙲𥌭𠆺盷胘訇,15,37,匣,h,喉音,全濁,送氣,185,先合2,ian,平,5,䙲原作⿱襾升,,,
596,呼煙,hian1,祆,2.01先,22,祆訮,2,36,曉,h,喉音,次清,送氣,181,先開4,ian,平,1,,,,
597,崇玄,cian5,𤜼,2.01先,23,𤜼,2,28,床,c,正齒近齒頭,全濁,,185,先合2,ian,平,5,,,,
598,相然,sian1,仙,2.02仙,1,仙僊㒨㲔䉳苮躚秈鮮硟鱻廯,12,24,心,s,齒頭音,全清,送氣,189,仙開3,ian,平,1,,,,
599,昨仙,cian5,錢,2.02仙,2,錢𧔢,3,23,從,c,齒頭音,全濁,,189,仙開3,ian,平,5,,,,
600,七然,chian1,遷,2.02仙,3,遷𨙙𠨧𨝍櫏䉦韆㿊,11,22,清,ch,齒頭音,次清,送氣,189,仙開3,ian,平,1,,,,
601,子仙,cian1,煎,2.02仙,4,煎湔葏鬋,4,21,精,c,齒頭音,全清,發聲,189,仙開3,ian,平,1,,,,
602,如延,jian5,然,2.02仙,5,然燃𤡮㜣肰繎𥳚䕼𤓉,12,41,日,j,半齒,次濁,收聲,189,仙開3,ian,平,5,,,,
603,以然,Øian5,延,2.02仙,6,延埏筵狿郔綖蜒䘰鋋䀽𨕐䢭莚,14,39,喻,Ø,喉音,次濁,發聲,189,仙開3,ian,平,5,,,,
604,諸延,cian1,𩜾,2.02仙,7,𩜾饘旃旜栴氈鸇𩔣,10,30,照,c,正齒近舌上,全清,發聲,189,仙開3,ian,平,1,,,,
605,居延,kian1,甄,2.02仙,8,甄薽籈,3,1,見,k,牙音,全清,發聲,189,仙開3,ian,平,1,,,,
606,張連,tian1,邅,2.02仙,9,邅𧾍驙鱣𩼼,7,9,知,t,舌上音,全清,發聲,189,仙開3,ian,平,1,,,,
607,士連,cian5,潺,2.02仙,10,潺孱𨬖䡲𡎻,7,28,床,c,正齒近齒頭,全濁,,189,仙開3,ian,平,5,,,,
608,式連,sian1,羶,2.02仙,11,羶埏挻扇煽鯅脠䘰,8,33,審,s,正齒近舌上,全清,送氣,189,仙開3,ian,平,1,,,,
609,丑延,thian1,脠,2.02仙,12,脠梴鏈㢟,4,10,徹,th,舌上音,次清,送氣,189,仙開3,ian,平,1,,,,
